Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.320325
Creating the simulation system...

System Time is: 2023-03-26 16:34:32.559479
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
421000,-39596.475819055224
422000,-40045.167783816156
423000,-39550.25007222906
424000,-39648.062395526766
425000,-39743.166069105995
426000,-39470.53769170093
427000,-40417.18335872187
428000,-40037.03763923541
429000,-39870.78870687884
430000,-39267.782166756326
431000,-39844.5111989859
432000,-39526.696969567856
433000,-39914.73561686275
434000,-39586.72264301746
435000,-39715.148950208124
436000,-39398.848404757184
437000,-39278.20054057917
438000,-39574.11136653442
439000,-39310.66613470428
440000,-39816.343511033614
441000,-40669.362604683
442000,-40041.402413998505
443000,-40082.12255002794
444000,-40170.741496293354
445000,-39648.99152827968
446000,-39897.09156900244
447000,-39754.29097657662
448000,-39158.93806100621
449000,-39995.014228459055
450000,-39590.034540968045
451000,-39966.76271662804
452000,-40797.508282152885
453000,-40130.68735231942
454000,-40441.89033124539
455000,-40634.73462305864
456000,-40629.884777623534
457000,-39540.36116016372
458000,-40231.39357696462
459000,-40370.10814410713
460000,-40503.98112901811
461000,-39869.0980896548
462000,-39674.42678887181
463000,-39713.46910742218
464000,-39387.183531282746
465000,-40092.17421483461
466000,-39864.26528984276
467000,-39780.69710903027
468000,-39718.97629793627
469000,-40051.581435826
470000,-40349.689737865
471000,-39938.936968656744
472000,-40241.526658969815
473000,-39754.32041545573
474000,-40531.79940831849
475000,-40394.22274791516
476000,-40017.754144567465
477000,-40136.115240827756
478000,-39521.423571007355
479000,-40012.460946397914
480000,-40181.93300058805
481000,-40113.96022025462
482000,-40374.00358403452
483000,-39749.21565742159
484000,-39868.92546458398
485000,-39892.372539139236
486000,-40183.912153278514
487000,-39586.23242377036
488000,-40073.121908074245
489000,-40447.52505431943
490000,-40306.18113621451
491000,-40138.20038288127
492000,-40295.002189464365
493000,-40050.745227714826
494000,-39236.00868027531
495000,-39529.72628340752
496000,-39992.778636370334
497000,-40305.996324534135
498000,-39814.12860358607
499000,-40383.009056709154
500000,-39577.76406054498
501000,-40000.96376232271
502000,-40527.26800338945
503000,-40242.23489412974
504000,-40154.63651237842
505000,-39978.48893560759
506000,-39916.94698686495
507000,-39999.985116866315
508000,-39885.76351047291
509000,-39735.77971101228
510000,-39849.891897012494
511000,-39864.66105101003
512000,-39376.16275035712
513000,-39527.157237172374
514000,-40146.05752988466
515000,-39830.3167691621
516000,-38918.263555292186
517000,-39541.30285980436
518000,-39453.486059816336
519000,-39536.64111410377
520000,-40205.17406703987
521000,-39762.07403354725
522000,-39926.37174348556
523000,-40437.14134480625
524000,-40203.74008680004
525000,-40106.12352426253
526000,-40554.15122534236
527000,-39782.42075212032
