inter,vdw,multipole,polar
-12741.2994,5751.2768,-13121.0105,-5372.879
-12745.9042,5776.387,-13138.8383,-5384.4835
-12661.5177,5738.3918,-13085.455,-5315.4561
-12753.1441,5823.7529,-13209.8206,-5368.0564
-12664.037,5837.7243,-13140.9591,-5361.655
-12740.1682,5994.0989,-13276.5479,-5458.8417
-12653.7902,5958.4031,-13208.4982,-5404.7607
-12701.365,5939.8768,-13225.5837,-5416.8807
-12762.1567,5999.2652,-13303.7203,-5458.7713
-12832.5566,6007.4002,-13342.5745,-5498.4847
-12817.5712,5942.3887,-13311.9695,-5449.673
-12691.5292,6046.5079,-13266.8946,-5472.5794
-12793.8283,6016.3031,-13333.0209,-5478.5711
-12765.1659,5868.0339,-13226.4622,-5408.0226
-12678.7233,5892.1314,-13187.9853,-5384.0838
-12722.7462,5841.4537,-13201.7868,-5363.8403
-12653.0,5931.5295,-13184.7365,-5401.1659
-12770.4658,6007.4854,-13304.3326,-5475.0765
-12859.8332,6008.8817,-13347.8939,-5521.8078
-12809.592,6011.7105,-13317.5467,-5505.0444
-12731.0892,5961.5131,-13262.5293,-5431.5638
-12703.4663,5849.7191,-13201.684,-5352.6424
-12652.7511,5830.9385,-13122.3178,-5362.5705
-12642.1793,5998.5042,-13216.0294,-5425.7248
-12595.2634,6004.8122,-13186.3921,-5414.6604
-12696.5115,6014.4455,-13258.9715,-5453.5397
-12669.1997,6089.606,-13297.1149,-5463.1132
-12650.2587,6026.1155,-13241.7004,-5436.0963
-12591.2463,5987.7111,-13163.3229,-5416.9486
-12687.9213,5923.4205,-13194.4718,-5418.5073
-12691.798,6044.5452,-13286.2078,-5451.5128
-12632.3378,5950.0302,-13192.6505,-5391.3658
-12628.6698,5925.7268,-13175.8963,-5379.8885
-12690.7306,5949.8058,-13224.4888,-5417.583
-12637.8535,5966.6618,-13193.4768,-5412.3656
-12619.0113,5967.4747,-13209.0362,-5379.187
-12677.304,5833.4815,-13139.638,-5372.8542
-12731.558,5904.8232,-13248.8624,-5389.4894
-12740.4936,5873.4412,-13246.8538,-5368.3777
-12666.2517,5881.1676,-13183.1587,-5365.7013
-12780.0331,5828.104,-13234.9327,-5374.7563
-12694.2147,5920.8066,-13223.5123,-5392.5752
-12710.0332,6045.8061,-13285.069,-5472.2716
-12821.7452,6263.8075,-13472.8238,-5614.1507
-12733.0443,5906.8879,-13215.9168,-5425.5502
-12686.9003,6051.0277,-13272.1062,-5467.438
-12589.3663,5848.0215,-13098.221,-5340.8677
-12548.2099,5990.6408,-13128.528,-5411.8648
-12624.726,5855.5186,-13137.5459,-5344.661
-12429.6157,5769.038,-12948.1263,-5252.0718
-12454.0541,5835.9783,-12976.1696,-5315.2934
-12550.0643,5886.6751,-13072.2571,-5366.3697
-12572.9228,6022.6098,-13196.0791,-5401.4347
-12610.1316,5925.9983,-13151.5268,-5386.5024
-12545.8768,5913.0828,-13117.0666,-5343.5726
-12712.7914,5829.6312,-13153.5582,-5390.7913
-12574.3564,5997.6494,-13171.7604,-5402.0743
-12670.2216,6031.4106,-13258.2014,-5445.2753
-12591.7725,5969.8703,-13156.2944,-5407.1754
-12691.6999,5963.2529,-13228.4672,-5428.3492
-12611.5315,6096.766,-13273.5052,-5436.0852
-12704.2912,5994.3145,-13259.9237,-5440.3372
-12681.6443,5927.1088,-13194.1611,-5416.2779
-12759.582,6080.9418,-13349.6585,-5492.1913
-12737.8177,5942.2784,-13259.0307,-5422.5392
-12812.7419,6055.1199,-13358.9213,-5510.4151
-12692.6809,6027.557,-13265.3205,-5456.6631
-12855.8576,6016.1304,-13402.0178,-5472.066
-12761.3005,6133.0926,-13404.0089,-5491.9399
-12817.693,6209.9876,-13465.2897,-5563.9891
-12737.7005,5892.1617,-13226.1837,-5405.1995
-12769.0348,6015.1511,-13322.5507,-5463.0074
-12833.1624,6116.2734,-13396.4605,-5554.4643
-12817.3248,5936.5021,-13311.7255,-5443.2597
-12905.7849,5982.3315,-13380.2919,-5509.2132
-12967.6826,6086.1596,-13461.9638,-5593.5737
-12815.1785,6271.6008,-13488.1518,-5599.9203
-12810.2429,5946.048,-13310.1216,-5447.364
-12847.4491,5987.4897,-13349.4845,-5486.5812
-12801.3942,5966.1899,-13320.1586,-5449.2232
-12822.005,5948.3496,-13318.1844,-5453.7105
