Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.916428
Creating the simulation system...

System Time is: 2023-03-26 16:34:36.551338
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
214000,-39223.645759359046
215000,-39427.123935096606
216000,-39303.45987804698
217000,-39988.828889857155
218000,-39858.565854597226
219000,-38992.118574364154
220000,-39481.63256250529
221000,-39207.4696958104
222000,-39231.06555293919
223000,-39859.52516331202
224000,-40030.95163280523
225000,-39011.770011615954
226000,-39242.36701672703
227000,-39958.7237158825
228000,-40220.544049197044
229000,-40020.07530192005
230000,-40477.08758808748
231000,-39396.55777856799
232000,-39671.71771313087
233000,-40153.04733329707
234000,-40316.74717667532
235000,-39822.576875024955
236000,-39431.76364260543
237000,-39194.57651930897
238000,-40009.07851966642
239000,-40435.1348419897
240000,-40298.62347122842
241000,-39608.13855064101
242000,-39818.89894314122
243000,-39974.36188493584
244000,-39760.51277460932
245000,-40037.85188319985
246000,-39706.16674686671
247000,-40098.77075870475
248000,-39304.37587098971
249000,-40026.97425090158
250000,-39417.32704318226
251000,-39483.37647132175
252000,-40031.999165979396
253000,-39770.410329019
254000,-40148.498392834954
255000,-39494.41432963604
256000,-40186.905721149895
257000,-39582.785085758434
258000,-40600.58536818683
259000,-40233.69733754442
260000,-39796.24903021169
261000,-40125.03414690982
262000,-39646.18291596684
263000,-39796.67426593973
264000,-39263.976260124495
265000,-39499.32452118901
266000,-39406.41338461341
267000,-39978.32249769199
268000,-39837.27385110158
269000,-40282.970250594815
270000,-39313.18236746878
271000,-39140.753599646894
272000,-39765.993392026256
273000,-40069.485310603995
274000,-39607.327583242906
275000,-39980.7031090206
276000,-40453.90150925687
277000,-40777.67430792295
278000,-40603.54807157945
279000,-40237.14094347623
280000,-40486.746697869676
281000,-40930.9574507706
282000,-39391.47375151015
283000,-39781.391795592775
284000,-39807.07521969982
285000,-39898.81683356417
286000,-40155.64168824128
287000,-40123.35021179598
288000,-39823.74160503443
289000,-39684.20939975619
290000,-39520.05655777872
291000,-39512.4106065354
292000,-39623.795500339416
293000,-39309.582325923155
294000,-39779.631501459706
295000,-40025.43935616472
296000,-40081.48878317197
297000,-40088.2369800977
298000,-39656.20717794724
299000,-40097.92128085621
300000,-39842.802759436985
301000,-39155.552802153354
302000,-40176.63057595414
303000,-39788.915112155046
304000,-39971.88116468102
305000,-40208.01153438881
306000,-39966.248252271675
307000,-39536.96549181471
308000,-40403.58476832608
309000,-40257.27253025778
310000,-40063.78325550376
311000,-39997.033276737406
312000,-40287.624399985885
313000,-41226.358568374766
314000,-40210.653196563435
315000,-40369.79853969911
316000,-39893.25533875963
317000,-40139.088546734805
318000,-39811.00352797078
319000,-39507.548902806535
320000,-40006.647609659994
321000,-39848.85054501625
322000,-39911.42810628104
323000,-39507.64843573287
324000,-39924.35491494946
325000,-40030.16740108002
326000,-39760.467556444986
327000,-39616.347853486055
328000,-40213.18831761912
329000,-40527.63826078186
330000,-39394.9739649533
331000,-39840.57449839407
332000,-39625.06213229056
333000,-40284.644408480766
334000,-40089.221139932924
335000,-39227.2792068307
336000,-39403.70729166349
337000,-39305.339382266786
338000,-39974.64760094856
339000,-39681.2346053411
340000,-39620.9542849427
341000,-39093.03466852545
342000,-39493.94180638061
343000,-39248.4670396576
344000,-39579.673660848406
345000,-39841.65776496734
346000,-40151.87335537182
347000,-39787.2902187315
348000,-40547.95386264936
349000,-39876.353172957366
350000,-40298.84936260966
351000,-39957.355644871
352000,-39646.0238305231
353000,-39607.91471952478
354000,-40324.55674545863
355000,-40274.587766473305
356000,-39458.833908089975
357000,-39853.18435268249
358000,-40357.71766596113
359000,-40356.651910906934
360000,-40217.4192308212
361000,-39845.721585349726
362000,-40681.003087960045
363000,-40363.91859336573
364000,-39940.89617017884
365000,-39951.313271631014
366000,-39898.28241399798
367000,-40556.36124407869
368000,-40273.76926808496
369000,-39597.65826312644
370000,-39431.40252176182
371000,-39484.51838336939
