Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.359598
Creating the simulation system...

System Time is: 2023-03-26 16:34:36.035428
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
320000,-40329.97418800484
321000,-39566.83923099989
322000,-40470.89531153135
323000,-40382.78318571676
324000,-40130.749165529916
325000,-40473.89565515495
326000,-40242.663964158564
327000,-40002.78647174714
328000,-40364.13072956708
329000,-40281.09220618986
330000,-39932.91461251449
331000,-40114.65499854785
332000,-40742.679994813036
333000,-39958.170020765414
334000,-40331.901536347264
335000,-40088.71308684103
336000,-40078.39793127906
337000,-40275.24649048172
338000,-40390.98221811593
339000,-40499.07363341715
340000,-40848.38105935877
341000,-40435.24788671797
342000,-40265.61409876504
343000,-40335.99364214467
344000,-39901.74247688947
345000,-39960.935817912636
346000,-40392.943220582965
347000,-40405.922481756716
348000,-39548.12535592998
349000,-39394.04345512586
350000,-39718.57847431793
351000,-40224.01573901266
352000,-40771.83138094771
353000,-39821.739109437505
354000,-39929.31380678722
355000,-40123.59282553817
356000,-40402.99563179003
357000,-40093.63598774205
358000,-39926.973183056594
359000,-39666.886462651106
360000,-39003.134572826064
361000,-40159.91042624842
362000,-40079.18179587558
363000,-39625.20238609305
364000,-39928.97772033341
365000,-40171.7326587234
366000,-39935.81063464528
367000,-39539.844457612795
368000,-40186.06909738953
369000,-40251.20133127061
370000,-40074.8581001478
371000,-39905.09423021456
372000,-40711.445884493674
373000,-40220.91763488932
374000,-39502.50190571565
375000,-39362.41469933645
376000,-39991.92500242243
377000,-39982.74848285213
378000,-40292.58015038044
379000,-40583.92584334703
380000,-39336.378765909314
381000,-39923.03307463856
382000,-39741.80154013247
383000,-39405.44197904541
384000,-39540.160518138015
385000,-39787.11030716692
386000,-39740.49156833331
387000,-40429.19218942369
388000,-40722.27185620995
389000,-40257.09544652251
390000,-39289.2062859343
391000,-39654.394407928514
392000,-40317.836685988776
393000,-40097.21129091651
394000,-40373.138878713915
395000,-40019.99258747232
396000,-39690.77889797978
397000,-39751.83349655964
398000,-40143.058600074786
399000,-39655.60497925767
400000,-39616.64611668017
401000,-39843.051941914906
402000,-40007.12032213445
403000,-39978.66281098657
404000,-39415.65116622436
405000,-39775.19753725552
406000,-39427.96690204467
407000,-39868.088223560626
408000,-40685.47875348183
409000,-39933.738455895706
410000,-40112.35688833303
411000,-39601.49356222994
412000,-40075.75660286234
413000,-40133.31431467764
414000,-39892.48646032567
415000,-40238.42390158336
416000,-40276.6625952225
417000,-39844.888664007856
418000,-40069.804901810174
419000,-40495.08165831203
420000,-40067.50322452138
421000,-39805.467249914844
422000,-40021.74829893692
423000,-39272.17669454134
424000,-40133.99627225489
425000,-39516.266857661314
426000,-39788.60875264082
427000,-39643.19838992915
428000,-39224.82242971821
429000,-39768.5199723063
430000,-39940.47136827064
431000,-39858.10050451265
432000,-39626.62878882044
433000,-39542.30429473186
434000,-39861.093519934235
435000,-40696.6631650662
436000,-40310.637667516305
437000,-40003.4427621957
438000,-39973.85413580149
439000,-39712.81296250828
440000,-40151.77145226774
441000,-40434.40598099109
442000,-39405.38632741869
443000,-39746.091063620435
444000,-40185.89760959699
445000,-39375.541290746245
446000,-39870.14143222201
447000,-39915.71426639934
448000,-39698.859325674275
449000,-39689.01647053126
450000,-39629.86554183606
451000,-40309.057370739014
452000,-40089.82897001601
453000,-39992.29159381207
454000,-39698.93496070866
455000,-40300.857062056224
456000,-39932.116820619245
457000,-39761.81189566814
458000,-39424.172484637485
459000,-39583.18615186857
460000,-40061.412838124124
461000,-40713.82397777162
462000,-39900.78041552375
463000,-40297.976487822045
464000,-41120.25116204162
465000,-40086.17408292194
466000,-39727.62484208842
467000,-39748.87773162979
468000,-40240.965021746306
469000,-39867.999192173236
470000,-39196.64318279046
471000,-40105.30315937637
472000,-40220.96269550115
473000,-39830.95204404801
474000,-39603.955911615136
475000,-39871.32333631227
476000,-39578.624424828406
477000,-39603.6066834036
478000,-40044.6702458343
479000,-39740.1480376118
480000,-39967.13325181785
481000,-39975.58207577268
482000,-39892.57389467798
483000,-40086.46294566835
484000,-40362.495486384345
485000,-40382.41201169093
486000,-40173.475328912325
487000,-39816.11455588156
488000,-39805.038626562964
489000,-39598.67780221945
490000,-39364.13600744233
491000,-40000.87565028218
492000,-40343.72688148859
493000,-40154.40602151214
494000,-40067.28486037464
495000,-39720.99922496246
496000,-39891.96378141713
497000,-40229.887374156766
498000,-40013.385811659304
499000,-40272.657166286495
500000,-40055.8292999876
501000,-40039.39314924847
502000,-40748.48065639363
503000,-40468.45346665666
504000,-40207.61611857065
505000,-39649.71811030891
506000,-39930.484205760265
507000,-40236.535111303165
508000,-40148.86371560856
509000,-40137.11901394279
510000,-39785.62528129105
511000,-39535.80369225584
512000,-40134.499029891595
513000,-39600.42128651845
514000,-40758.07474815877
515000,-39676.571344766504
516000,-40873.56649317441
517000,-40686.00499823583
518000,-40029.90596015446
519000,-40484.194425325055
520000,-40324.22657179081
521000,-40178.734389131016
522000,-40500.97776681711
523000,-40168.78137427425
524000,-39520.564789914206
525000,-39737.66711271258
526000,-39729.535675494175
527000,-39852.92983462358
