Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.770323
Creating the simulation system...

System Time is: 2023-03-26 16:34:33.042876
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
1000,-39814.956212604
bubble radius: 1.0 A
2000,-39473.02421854671
bubble radius: 1.5 A
3000,-39607.35654174078
bubble radius: 2.0 A
4000,-39481.052457793456
bubble radius: 2.5 A
5000,-39462.934408418536
bubble radius: 3.0 A
6000,-39792.24175970054
bubble radius: 3.5 A
7000,-39593.37589031574
bubble radius: 4.0 A
8000,-39670.01634524775
bubble radius: 4.5 A
9000,-40136.47036209774
bubble radius: 5.0 A
10000,-39932.73244384516

System Time is: 2023-03-26 16:36:00.059746
Starting equilibration...

11000,-40305.22575130391
12000,-40815.74546646331
13000,-40281.63244057219
14000,-39594.06618357039
15000,-40275.83438900321
16000,-41007.82424193781
17000,-40492.068896030614
18000,-40010.21145900467
19000,-39756.14266312972
20000,-39724.095493308894
21000,-40390.14509110595
22000,-39968.346344502046
23000,-40017.77625754784
24000,-40223.41636427936
25000,-39523.71897307293
26000,-40351.28367415787
27000,-39579.13445104886
28000,-39765.88700013318
29000,-39716.59525545797
30000,-40413.896590089425
31000,-40662.86515188154
32000,-39739.81697534834
33000,-40957.70166080275
34000,-39421.304486657595
35000,-39950.52168303552
36000,-39462.797552430144
37000,-39828.15995782128
38000,-39809.97144791439
39000,-39771.95209428465
40000,-39923.34121686332
41000,-39453.137230376306
42000,-40644.10090248208
43000,-39399.71722117571
44000,-39368.91623610255
45000,-39864.0272659918
46000,-39282.550980479675
47000,-39494.87217172432
48000,-39276.77541001078
49000,-39979.12134376886
50000,-40028.16621037497
51000,-40096.5426019436
52000,-39641.98529500912
53000,-39492.47557372706
54000,-40297.81060912166
55000,-40273.30997503696
56000,-40613.76727214426
57000,-40583.859282058664
58000,-40682.080519573414
59000,-39811.09008300492
60000,-40671.72278296034
61000,-40460.37677128746
62000,-40785.87910753829
63000,-40284.78915025438
64000,-39772.04523238694
65000,-40355.54509200367
66000,-39911.35594232648
67000,-40187.9841624652
68000,-40123.39658303819
69000,-40094.51621874888
70000,-39804.43316379361
71000,-39492.94637215565
72000,-40149.251649734186
73000,-40369.93960221837
74000,-40118.64438137936
75000,-39969.058333318455
76000,-39794.93392782501
77000,-39928.828557446905
78000,-40127.4459369695
79000,-40010.52762467832
80000,-39717.45054763537
81000,-40500.09285144363
82000,-40442.03559898841
83000,-40028.68817764393
84000,-40385.054489873524
85000,-40146.10677393402
86000,-39779.89832124571
87000,-39961.4230939783
88000,-39107.877152694484
89000,-39337.43191879429
90000,-39980.43197566956
91000,-39630.842699387635
92000,-39187.20858936444
93000,-40181.65171434607
94000,-39634.040788984435
95000,-39475.039938429996
96000,-40170.48302725564
97000,-39881.40146311179
98000,-40313.55109101686
99000,-39716.20422962401
100000,-39987.634110447645
101000,-40526.853302175994
