   2.025     0.00000     0.00000    -0.00000
   2.129     0.00000     0.00000    -0.00000
   2.297     0.00000     0.00000    -0.00000
   2.500     0.00002     0.00001     0.00039
   2.703     0.00640     0.00089     0.05986
   2.871     0.09292     0.00315     0.64376
   2.975     0.35435     0.00894     1.79151
   3.025     0.61328     0.01172     2.72626
   3.129     1.48440     0.04562     5.15011
   3.297     4.53386     0.05002     0.00000
   3.500    11.94537     0.11044     0.00000
   3.703    21.38158     0.20285     0.00000
   3.871    28.51604     0.19946     0.00000
   3.975    31.50112     0.32308     0.00000
   4.025    32.36159     0.54729     0.00000
   4.129    34.11973     0.62942     0.00000
   4.297    31.67848     0.55532     0.00000
   4.500    29.56353     0.50493     0.00000
   4.703    27.96002     0.51450     0.00000
   4.871    24.54329     0.44928     0.00000
   4.975    23.28853     0.65092     0.00000
