Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-25 06:24:11.728597
Creating the simulation system...

System Time is: 2023-03-25 06:24:23.692042
The simulation system has been created. Preparing for simulation...
bubble radius: 2.0254 A

System Time is: 2023-03-25 06:24:29.489585
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
1000,-38734.81280967427,--
2000,-38457.65624148913,19:17:51
3000,-39373.17781109121,19:22:38
4000,-39239.64600323491,19:24:37
5000,-40036.056147739124,19:25:03
6000,-39588.64751408305,19:27:15
7000,-39961.70066417246,19:28:32
8000,-40000.374842119934,19:29:21
9000,-39566.57786318672,19:30:30
10000,-39878.85507891627,19:30:45
11000,-40692.13535826621,19:31:14
12000,-40403.12296192668,19:31:32
13000,-40711.68186115954,19:31:43
14000,-40136.95970188193,19:31:54
15000,-40082.87727121179,19:32:16
16000,-40290.24089638083,19:32:36
17000,-39990.68040173934,19:32:46
18000,-40084.81703772974,19:32:42
19000,-40296.005884358696,19:32:36
20000,-39668.02629881509,19:32:44
21000,-40764.751969195335,19:33:12
22000,-40837.19777615013,19:33:16
23000,-39823.08271757823,19:33:23
24000,-40361.44189019101,19:33:44
25000,-39548.69845268756,19:33:41
26000,-40378.08250993637,19:33:40
27000,-40418.86092656334,19:33:45
28000,-39935.994795557766,19:33:48
29000,-40425.33185584906,19:33:41
30000,-40146.14538551699,19:33:29
31000,-40071.67539310703,19:33:25
32000,-39538.71674496522,19:33:27
33000,-40433.24833343552,19:33:27
34000,-40101.32353526924,19:33:26
35000,-39428.48660916193,19:33:31
36000,-40486.063880302696,19:33:24
37000,-39528.885716061326,19:33:28
38000,-39786.76779207704,19:33:28
39000,-39899.18167286906,19:33:23
40000,-40589.29535411185,19:33:21
41000,-39963.90159691592,19:33:13
42000,-39970.038932479045,19:33:16
43000,-39824.9173642214,19:33:24
44000,-40681.1474961661,19:33:27
45000,-39886.16720794138,19:33:26
46000,-39702.83236237125,19:33:31
47000,-39874.22833323053,19:33:31
48000,-40225.00131520495,19:33:31
49000,-39791.55030661232,19:33:29
50000,-40016.768023897195,19:33:26
51000,-40875.953636141705,19:33:23
52000,-39948.25718414996,19:33:20
53000,-40220.53401111221,19:33:16
54000,-40485.713921166025,19:33:10
55000,-40134.26796302611,19:33:04
56000,-39648.85134860447,19:33:01
57000,-40083.23340972756,19:32:55
58000,-40106.659937381,19:32:46
59000,-40452.52797488515,19:32:41
60000,-40264.27343334474,19:32:36
61000,-39562.22546407686,19:32:31
62000,-39596.24928061241,19:32:26
63000,-39558.860593648395,19:32:21
64000,-40072.39292553925,19:32:14
65000,-39537.352167624005,19:32:06
66000,-40449.345883459304,19:32:04
67000,-40280.5971392028,19:32:04
68000,-40324.112756313145,19:32:04
69000,-40283.86695510202,19:32:01
70000,-40046.826226448335,19:31:55
71000,-40640.06904047564,19:31:48
72000,-40590.310419371905,19:31:42
73000,-40222.96573881815,19:31:40
74000,-40194.53401076622,19:31:29
75000,-40037.321199864964,19:31:21
76000,-40522.34195633216,19:31:13
77000,-40639.07785281398,19:31:10
78000,-40623.08537832563,19:31:07
79000,-40446.93804626737,19:31:09
80000,-40045.55078723456,19:31:08
81000,-40749.47935149138,19:31:05
82000,-40732.59030595375,19:31:00
83000,-40729.86088786599,19:30:54
84000,-40540.95476831378,19:30:49
85000,-40210.27382283201,19:30:43
86000,-40600.250943233186,19:30:41
87000,-40392.049608705216,19:30:38
88000,-40146.892485823744,19:30:29
89000,-39945.651882436316,19:30:27
90000,-40018.18679783689,19:30:24
91000,-40176.90521328876,19:30:23
92000,-39887.93623135968,19:30:22
93000,-40320.26599157209,19:30:22
94000,-40582.46364595057,19:30:17
95000,-40340.85470159809,19:30:11
96000,-40143.930486457335,19:30:02
97000,-40075.6923856488,19:29:57
98000,-40573.44391839445,19:29:48
99000,-41004.06404784635,19:29:38
100000,-40170.179408816024,19:29:29

System Time is: 2023-03-25 06:38:34.862064
Starting production...

101000,-40083.31598116062,19:30:20
102000,-39995.72405730223,19:31:08
103000,-40619.74244403545,19:31:55
104000,-40824.56944343475,19:32:43
105000,-39923.947032951095,19:33:29
106000,-39713.33845472707,19:34:14
107000,-39910.06161124788,19:34:58
108000,-39800.43724952812,19:35:44
109000,-40495.055863408226,19:36:27
110000,-40027.85713934092,19:37:10
111000,-39834.61740584066,19:37:52
112000,-39976.42692919017,19:38:34
113000,-39864.37967380442,19:39:16
114000,-39809.60399630321,19:39:55
115000,-39719.289225682536,19:40:33
116000,-39670.44117946958,19:41:12
117000,-40377.6582378633,19:41:57
118000,-39784.614519517956,19:42:39
119000,-40157.866043241185,19:43:19
120000,-40012.78021971417,19:43:59
121000,-39814.20195733223,19:44:34
122000,-40145.88062702319,19:45:10
123000,-40382.90537967681,19:45:43
124000,-40375.84527769606,19:46:17
125000,-40156.74651889871,19:46:50
126000,-40067.201129964014,19:47:24
127000,-40343.20806907643,19:47:59
128000,-40165.0471835265,19:48:33
129000,-40829.70946651843,19:49:06
130000,-39756.15391165924,19:49:37
131000,-40082.79421226535,19:50:05
132000,-39573.04596816747,19:50:33
133000,-39853.33973770334,19:51:00
134000,-39864.502583334935,19:51:25
135000,-39451.57841425843,19:51:51
136000,-39892.7926574935,19:52:15
137000,-39752.18852997566,19:52:40
138000,-40084.72257161159,19:53:06
139000,-40149.41573566855,19:53:26
140000,-39931.640572478354,19:53:45
141000,-39990.04667915011,19:54:05
142000,-40239.73871606731,19:54:23
143000,-40075.18040787693,19:54:42
144000,-40501.97865900406,19:55:02
145000,-39967.08013380926,19:55:20
146000,-39859.31161258835,19:55:37
147000,-40039.094929529325,19:55:56
148000,-39783.15949362768,19:56:16
149000,-39619.72701032196,19:56:34
150000,-39916.654839221985,19:56:53
151000,-40040.46984474215,19:57:09
152000,-40147.400733003895,19:57:28
153000,-40758.15775232787,19:57:43
154000,-40279.650139849604,19:57:59
155000,-39633.25779700524,19:58:13
156000,-40032.66995310593,19:58:26
157000,-40087.747578852,19:58:38
158000,-39816.91040961604,19:58:55
159000,-40710.69103768806,19:59:13
160000,-40286.99140422663,19:59:27
161000,-39815.7535312338,19:59:38
162000,-40305.31627163746,19:59:51
163000,-39875.3792761755,20:00:02
164000,-40729.566333966926,20:00:14
165000,-39991.01322234106,20:00:26
166000,-40230.19957743395,20:00:37
167000,-40299.03700987398,20:00:49
168000,-40107.69134153701,20:00:58
169000,-40542.89625318509,20:01:07
170000,-40643.69581628794,20:01:17
171000,-40417.532121962926,20:01:26
172000,-39909.694045673576,20:01:36
173000,-40228.78274081256,20:01:46
174000,-39462.870013429485,20:01:56
175000,-39690.31343885774,20:02:05
176000,-39876.00386229722,20:02:16
177000,-40170.34350305042,20:02:25
178000,-39879.85207289272,20:02:33
179000,-40473.651679707546,20:02:41
180000,-39448.876796412056,20:02:50
181000,-39607.85598576366,20:03:01
182000,-39783.836746635585,20:03:11
183000,-40303.95271350854,20:03:20
184000,-39620.78495687697,20:03:30
185000,-40626.14818169704,20:03:39
186000,-39752.568889343805,20:03:46
187000,-40258.3574327207,20:03:54
188000,-40598.407634065195,20:04:04
189000,-39325.74735387167,20:04:11
190000,-40646.90131128502,20:04:18
191000,-40554.63190434521,20:04:25
192000,-40424.813785731996,20:04:32
193000,-39548.7902168578,20:04:39
194000,-40102.07446762994,20:04:46
195000,-40322.11118143117,20:04:54
196000,-39844.61133092157,20:05:01
197000,-39210.264781713544,20:05:09
198000,-39550.686974106706,20:05:18
199000,-40279.84937883158,20:05:28
200000,-40132.50423800135,20:05:36
201000,-39756.92472091605,20:05:46
202000,-39874.26076849547,20:05:55
203000,-40157.93048917534,20:06:04
204000,-39812.94265082412,20:06:13
205000,-40000.53216570577,20:06:24
206000,-39925.77868083174,20:06:36
207000,-40524.84038069061,20:06:46
208000,-40204.737299913555,20:06:55
209000,-39286.55735744946,20:07:04
210000,-39418.11926972604,20:07:12
211000,-40135.0602124385,20:07:19
212000,-40019.195754064036,20:07:27
213000,-39650.04330692945,20:07:34
214000,-40411.95067777255,20:07:42
