#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
52000,51.99999999996951,-56755.20879617185,16806.951612021894,-39948.25718414996,299.5349561335132,45.28426733479445,0.9908941798916971,430.09730100631714
53000,52.99999999996718,-57038.894432358175,16818.36042124596,-40220.53401111221,299.7382849256317,44.51478091163326,1.0080228639512618,438.55257630348206
54000,53.99999999996485,-57225.298281140276,16739.584359974247,-40485.713921166025,298.33433109735296,44.62690178711707,1.0054903017188879,447.0063519477844
55000,54.99999999996252,-56713.87869676317,16579.610733737056,-40134.26796302611,295.48326719096315,44.57489549807284,1.0066634243628796,455.4552516937256
56000,55.99999999996019,-55933.90766793569,16285.056319331215,-39648.85134860447,290.2336927508918,44.95800145787856,0.9980852237114743,463.92369318008423
57000,56.99999999995786,-56744.34553559476,16661.1121258672,-40083.23340972756,296.93579210327744,44.84321745436198,1.0006399961906112,472.37558341026306
58000,57.99999999995553,-56877.05991194789,16770.399974566888,-40106.659937381,298.8835296657972,44.81776564379785,1.0012082552115615,480.8077914714813
59000,58.9999999999532,-57133.64816914556,16681.12019426041,-40452.52797488515,297.29237764162036,44.81425636657529,1.0012866569883603,489.2663435935974
60000,59.999999999950866,-57097.90136614862,16833.62793280388,-40264.27343334474,300.0103838469791,44.96371251587944,0.9979584520931294,497.7288019657135
61000,60.999999999948535,-56345.314800896354,16783.089336819496,-39562.22546407686,299.10968058557364,44.983299243922616,0.9975239188079307,506.18916296958923
62000,61.999999999946205,-56351.96319930714,16755.713918694728,-39596.24928061241,298.62179349834753,44.76974417780514,1.0022821833534852,514.6516823768616
63000,62.999999999943874,-56283.62990911514,16724.769315466743,-39558.860593648395,298.07029608320454,45.10589692646397,0.9948126520100485,523.1123433113098
64000,63.999999999941544,-56899.832025562166,16827.439100022915,-40072.39292553925,299.90008592988164,45.03050269231173,0.9964782593992385,531.5571446418762
65000,64.99999999994631,-56476.03735752445,16938.685189900443,-39537.352167624005,301.8827234373078,45.17482187235325,0.9932948284665819,539.9990901947021
66000,65.99999999995109,-56979.76115283035,16530.415269371053,-40449.345883459304,294.60650133829665,44.48149402722306,1.008777198788456,548.4917607307434
67000,66.99999999995586,-56927.24436112816,16646.64722192536,-40280.5971392028,296.67799732480046,44.51470518695355,1.00802457871514,556.9911861419678
68000,67.99999999996064,-56986.46073474706,16662.347978433914,-40324.112756313145,296.95781757540965,44.58449836765331,1.006446603316787,565.5000023841858
69000,68.99999999996541,-57090.405139614944,16806.538184512923,-40283.86695510202,299.52758799242355,44.95381294061335,0.9981782190975875,573.9877936840057
70000,69.99999999997019,-56919.47973454916,16872.653508100822,-40046.826226448335,300.7059010504852,44.80306193052676,1.0015368371984827,582.4424028396606
71000,70.99999999997496,-57101.87204266255,16461.803002186913,-40640.06904047564,293.38368753388716,45.16833026379068,0.9934375851541984,590.8991725444794
72000,71.99999999997974,-57111.42623710442,16521.115817732516,-40590.310419371905,294.44076570087014,45.30114518594379,0.9905250023708129,599.3630673885345
73000,72.99999999998451,-57014.26693770905,16791.301198890895,-40222.96573881815,299.2560331069655,45.61488924887497,0.983712065985433,607.855699300766
74000,73.99999999998929,-56782.92379163043,16588.389780864203,-40194.53401076622,295.6397281338413,45.722298946141926,0.9814011538563249,616.282420873642
75000,74.99999999999406,-57336.566230936834,17299.24503107187,-40037.321199864964,308.30865234469735,45.40395765957843,0.9882820629677272,624.7212955951691
76000,75.99999999999883,-56984.21571546696,16461.873759134804,-40522.34195633216,293.384948570378,45.71491981459137,0.9815595679637442,633.1755213737488
77000,77.00000000000361,-57460.458689440966,16821.38083662699,-40639.07785281398,299.79211503174173,45.83046206328721,0.9790849780380559,641.6601345539093
78000,78.00000000000838,-56914.00867608299,16290.923297757357,-40623.08537832563,290.3382545516322,45.57519460083634,0.9845688501324377,650.1576454639435
79000,79.00000000001316,-56836.2622775211,16389.324231253722,-40446.93804626737,292.09196456274736,45.51574582818212,0.9858548097200253,658.6950068473816
80000,80.00000000001793,-56819.37470580612,16773.823918571557,-40045.55078723456,298.94455149419997,45.463973387542985,0.9869774592777302,667.2179913520813
81000,81.00000000002271,-57041.676444088924,16292.197092597542,-40749.47935149138,290.3609562342684,45.03554301206065,0.996366734840761,675.7159044742584
82000,82.00000000002748,-57121.85264391766,16389.2623379639,-40732.59030595375,292.090861495143,45.09942845232748,0.9949553349692567,684.1876771450043
83000,83.00000000003226,-57168.24518047637,16438.384292610386,-40729.86088786599,292.96631725118283,45.067109359145654,0.9956688498726949,692.6614854335785
84000,84.00000000003703,-57271.871952215886,16730.91718390211,-40540.95476831378,298.1798639301653,45.12412636861393,0.9944107632390233,701.1419680118561
85000,85.00000000004181,-56878.977561406085,16668.703738574073,-40210.27382283201,297.0710904864482,44.70397969726272,1.003756650897349,709.6129500865936
86000,86.00000000004658,-57229.47801669224,16629.22707345906,-40600.250943233186,296.367533920898,44.67665619541042,1.0043705318151621,718.12611079216
87000,87.00000000005136,-56823.80395844666,16431.754349741448,-40392.049608705216,292.84815783166056,44.79186478632634,1.001787203028118,726.6304335594177
88000,88.00000000005613,-56997.12582223023,16850.23333640648,-40146.892485823744,300.30632679692644,45.02433533358968,0.9966147553372441,735.0777037143707
89000,89.00000000006091,-56830.47733146076,16884.825449024444,-39945.651882436316,300.92283044224996,44.58670819704289,1.0063967212920093,743.5916574001312
90000,90.00000000006568,-56648.24386534869,16630.0570675118,-40018.18679783689,296.3823261472289,44.441070358096454,1.009694784152123,752.0991785526276
91000,91.00000000007046,-56947.393019877214,16770.487806588455,-40176.90521328876,298.88509501573895,44.02093969278531,1.0193311922885115,760.6337480545044
92000,92.00000000007523,-56886.55157023808,16998.615338878397,-39887.93623135968,302.9508037745145,44.32215940186761,1.0124036722997918,769.1641919612885
93000,93.00000000008001,-57185.07139890474,16864.80540733266,-40320.26599157209,300.56603151473655,45.090556399535195,0.9951511031513921,777.7112793922424
94000,94.00000000008478,-57077.08991952321,16494.62627357264,-40582.46364595057,293.9686667366386,45.158682030457435,0.9936498348743545,786.2113268375397
95000,95.00000000008956,-56857.19569256528,16516.340990967194,-40340.85470159809,294.3556683221954,45.363565600195905,0.9891620367362334,794.6868031024933
96000,96.00000000009433,-56961.84014473524,16817.909658277902,-40143.930486457335,299.7302513887369,45.50914805123491,0.9859977359319055,803.1366744041443
97000,97.0000000000991,-56869.07946595583,16793.38708030703,-40075.6923856488,299.2932078673209,45.52846173052952,0.9855794647377301,811.6325016021729
98000,98.00000000010388,-57072.00726287426,16498.563344479808,-40573.44391839445,294.0388335574099,45.579450492050604,0.9844769179596299,820.0750870704651
99000,99.00000000010866,-57271.06675069757,16267.002702851229,-41004.06404784635,289.911939624851,45.45648494560497,0.9871400526548197,828.5167691707611
100000,100.00000000011343,-57128.23996708652,16958.060558270496,-40170.179408816024,302.2280329407065,45.16349281929726,0.9935439918751111,836.9627208709717
101000,101.0000000001182,-56684.507176020634,16601.191194860014,-40083.31598116062,295.8678760495489,45.5950079264122,0.984141005417266,846.127819776535
102000,102.00000000012298,-56563.49236852557,16567.768311223343,-39995.72405730223,295.2722105050128,45.45152677992845,0.9872477366926014,855.2790076732635
103000,103.00000000012776,-57333.442815736395,16713.700371700947,-40619.74244403545,297.8730244028981,45.22009701268849,0.9923003245684484,864.4362931251526
104000,104.00000000013253,-57434.781468919035,16610.212025484285,-40824.56944343475,296.028646078981,44.9803823588906,0.9975886061768516,873.6053869724274
105000,105.0000000001373,-56378.89056513101,16454.94353217992,-39923.947032951095,293.2614374617103,44.88119979373997,0.9997931683850898,882.7689714431763
