   2.025     0.00000     0.00000    -0.00000
   2.129     0.00000     0.00000    -0.00000
   2.297     0.00000     0.00000    -0.00000
   2.500     0.00000     0.00000     0.00025
   2.703     0.00604     0.00043     0.06573
   2.871     0.10206     0.00343     0.63706
   2.975     0.34523     0.00981     1.64216
   3.025     0.57657     0.00825     2.20798
   3.129     1.32111     0.02453     4.04201
   3.297     3.88710     0.07483     0.00000
   3.500     9.98406     0.15897     0.00000
   3.703    19.38284     0.41953     0.00000
   3.871    25.27468     0.36832     0.00000
   3.975    27.30807     0.43236     0.00000
   4.025    28.42102     0.22655     0.00000
   4.129    29.45631     0.13882     0.00000
   4.297    29.31438     0.46737     0.00000
   4.500    27.05987     0.49719     0.00000
   4.703    25.75251     0.55289     0.00000
   4.871    24.37336     0.56803     0.00000
   4.975    23.94859     0.67760     0.00000
