r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
8.30703,-0.05851,0.0039,-40.13183089257438,0.011068578724008888,40.07332089257438,0.011735562831393398,-39.99531864705716,0.0110620942848716,-0.1365122455172152,0.0003788205408809
8.37833,-0.06095,0.00385,-39.81030770758877,0.010803333164046061,39.74935770758877,0.011468849438953215,-39.681688319331634,0.0107976616932825,-0.1286193882571362,0.0003500134437378
8.44964,-0.06192,0.00384,-39.491969324353875,0.010635384587146546,39.430049324353874,0.011307387201140426,-39.369687877738485,0.0106304328489051,-0.1222814466153902,0.0003245038696745
8.52094,-0.06086,0.00377,-39.188255797921045,0.010398695737925458,39.12739579792105,0.011061002352858854,-39.072821933178936,0.0103943567499343,-0.1154338647421051,0.0003003677829667
8.59225,-0.06774,0.00372,-38.86507218058233,0.010134901784016208,38.79733218058233,0.010796047154938464,-38.75613086635196,0.0101311472152405,-0.1089413142303698,0.0002758446569712
8.66355,-0.06245,0.00374,-38.5681893446953,0.009956954350953607,38.5057393446953,0.010636190104871854,-38.46448091242109,0.009953602845625,-0.1037084322742112,0.0002583221603732
8.73486,-0.06611,0.0037,-38.274737284634206,0.009683287954887786,38.208627284634204,0.01036610175607373,-38.17671793282704,0.0096803773895373,-0.0980193518071677,0.0002374009549473
8.80616,-0.06729,0.00367,-37.955979694878614,0.009481576229195245,37.888689694878614,0.01016706387262519,-37.86312890754905,0.0094790660251148,-0.0928507873295643,0.0002181629701728
8.87747,-0.0674,0.0037,-37.66468916743688,0.009281433787218445,37.597289167436884,0.009991747251933475,-37.57679562084394,0.0092792824850177,-0.0878935465929446,0.0001998241971431
8.94877,-0.06554,0.0037,-37.3812860151323,0.009100558246745048,37.3157460151323,0.009823958489448096,-37.297922971390726,0.0090986945832965,-0.0833630437415718,0.0001841664526732
9.02008,-0.06593,0.00369,-37.10765894154931,0.008874175692913796,37.04172894154931,0.00961078010510604,-37.02857399385231,0.0088725449293212,-0.079084947697,0.0001701196810446
9.09138,-0.06733,0.00366,-36.78934095088794,0.008626641668788971,36.72201095088794,0.009370941600590954,-36.71427290140932,0.008625217748335,-0.0750680494786182,0.0001567331346368
9.16269,-0.06061,0.00365,-36.53005214554774,0.008461188861508574,36.469442145547745,0.009214891043854874,-36.45869220845792,0.008459927445782,-0.0713599370898217,0.0001460977830811
9.23399,-0.06173,0.00361,-36.216060861966334,0.008215761284150159,36.154330861966336,0.008973897340517144,-36.14824774777526,0.0082146416490587,-0.0678131141910765,0.0001356320599667
9.30529,-0.05603,0.00364,-35.94372447523791,0.008063392230873519,35.88769447523791,0.00884691439253887,-35.87903027000774,0.0080623876924481,-0.0646942052301667,0.000127275156935
9.3766,-0.05282,0.00361,-35.66456435479144,0.007876964992703229,35.61174435479144,0.008664795294539403,-35.60317635049331,0.0078760803122846,-0.0613880042981342,0.0001180525760629
9.4479,-0.05241,0.00356,-35.38701879860751,0.007714209881529317,35.334608798607505,0.00849603637564509,-35.32873096881712,0.0077134272805085,-0.0582878297903859,0.0001098803194016
9.51921,-0.04827,0.00351,-35.10145491628033,0.007542545846864987,35.05318491628033,0.008319260655374387,-35.04607167049938,0.0075418426098839,-0.0553832457809549,0.0001029946590842
9.59051,-0.04327,0.00356,-34.83554261468158,0.007363611327009714,34.79227261468158,0.008179020220984037,-34.7827834036558,0.0073629787735509,-0.0527592110257832,9.651608935642862e-05
9.66182,-0.04351,0.00353,-34.56978569620982,0.0071791763300917905,34.52627569620982,0.008000092048129836,-34.5195931644332,0.007178605108077,-0.0501925317766147,9.056202758902645e-05
9.73312,-0.04234,0.00349,-34.29123002470118,0.0070322762227584,34.248890024701176,0.007850669326444284,-34.24363106456376,0.007031771642784,-0.047598960137418,8.424035204081221e-05
9.80443,-0.03663,0.00348,-34.02417199717464,0.006881827030203023,33.98754199717464,0.007711675775966788,-33.97868320678086,0.0068813604808577,-0.0454887903937842,8.013242865941844e-05
9.87573,-0.03475,0.00342,-33.78113931125514,0.00675395542097257,33.746389311255136,0.007570489669003238,-33.73790296603068,0.006753538005992,-0.0432363452244601,7.508814890758357e-05
9.94704,-0.0318,0.00342,-33.52174929294886,0.006603731124941589,33.489949292948864,0.007436777848673598,-33.48041581663715,0.0066033417951763,-0.0413334763117113,7.170708891132676e-05
10.01834,-0.03253,0.00338,-33.282006682379226,0.0064492123794000975,33.249476682379225,0.00728125952803548,-33.24267304228768,0.0064488660789721,-0.0393336400915506,6.683270225331697e-05
10.08965,-0.02908,0.00336,-33.02362451734061,0.0063183328529342955,32.99454451734061,0.0071561812470387325,-32.98617534350217,0.0063180175481253,-0.0374491738384425,6.312132800884745e-05
10.16095,-0.02688,0.00335,-32.808183983847464,0.006236260799266845,32.781303983847465,0.0070790853050710124,-32.77245072004493,0.0062359761408039,-0.0357332638025325,5.958462718563751e-05
10.23226,-0.02752,0.00334,-32.562292126788016,0.006050482253715021,32.53477212678801,0.006911145744557873,-32.52814972142462,0.0060502211587539,-0.0341424053633992,5.6208831041078734e-05
10.30356,-0.02719,0.0033,-32.342199938265985,0.005929598792589588,32.31500993826599,0.006786025481906172,-32.30963697152437,0.0059293625083002,-0.0325629667416139,5.2934735702141154e-05
10.37487,-0.02441,0.0033,-32.113194404126396,0.005828438029277729,32.08878440412639,0.006697812319043499,-32.082050919230106,0.0058282227638834,-0.0311434848962928,5.009267094293018e-05
10.44617,-0.02752,0.00329,-31.890546748725196,0.005705792126194634,31.863026748725197,0.006586361953866845,-31.86086196978408,0.0057055991941582,-0.0296847789411162,4.692145528404834e-05
10.51748,-0.02688,0.00323,-31.68129965679698,0.005589350850689286,31.654419656796982,0.006455520345572543,-31.652835449127952,0.0055891758020162,-0.0284642076690274,4.423557683148266e-05
10.58878,-0.02529,0.0032,-31.45461303040778,0.005485161742015878,31.429323030407783,0.006350354268548697,-31.42748143310411,0.0054850035447921,-0.0271315973036704,4.165872889032344e-05
10.66009,-0.02581,0.00318,-31.227849937018892,0.005361463935774125,31.202039937018892,0.006233594110511734,-31.201906056530863,0.0053613195574058,-0.0259438804880275,3.934638464521696e-05
10.73139,-0.02367,0.00319,-31.01681021326857,0.0052693676701089445,30.99314021326857,0.006159735030241915,-30.99216385522565,0.0052692395757037,-0.0246463580429188,3.674148373789922e-05
10.8027,-0.02392,0.00314,-30.816219087277528,0.005146731205121917,30.792299087277527,0.006028966917953332,-30.79254866248172,0.0051466135491683,-0.0236704247958055,3.4800478344095174e-05
10.874,-0.02517,0.00316,-30.610572352059577,0.005045593315726999,30.585402352059578,0.0059534537797575095,-30.58784803351053,0.005045485813366,-0.022724318549048,3.293652731255526e-05
10.94531,-0.02157,0.00309,-30.421682815416016,0.00497775354068347,30.400112815416016,0.005858850596472556,-30.39997050458423,0.0049776573003612,-0.0217123108317878,3.095338346073332e-05
11.01661,-0.02407,0.00306,-30.22232616191689,0.0048602216545475104,30.19825616191689,0.005743287780647296,-30.2015493453949,0.0048601338107948,-0.0207768165219925,2.9221096860872703e-05
11.08792,-0.02291,0.00304,-30.033207373430777,0.0047913908583209,30.010297373430777,0.005674418591996989,-30.013339480214107,0.0047913130777702,-0.0198678932166697,2.7301062055188497e-05
11.15922,-0.0239,0.00303,-29.824218009982946,0.004692248497296464,29.800318009982945,0.00558552557602066,-29.805135487393173,0.0046921768084239,-0.0190825225897741,2.593759568323965e-05
11.23053,-0.02106,0.00298,-29.635903774857127,0.004615694254131883,29.61484377485713,0.00549409077533545,-29.61763272242917,0.0046156302768776,-0.0182710524279571,2.4302156219082963e-05
11.30183,-0.02105,0.00299,-29.457406628172876,0.0045419616270720815,29.436356628172877,0.005437785893338876,-29.43986844127423,0.0045419038955169,-0.0175381868986481,2.2900342435727416e-05
11.37314,-0.01864,0.00294,-29.259350509729224,0.0044496386120693576,29.240710509729222,0.005333187018848909,-29.24251878314322,0.0044495856889942,-0.0168317265860046,2.170194269014087e-05
11.44444,-0.0192,0.00296,-29.08762126653106,0.0043659772710310735,29.068421266531058,0.0052747850696649185,-29.07149980886177,0.0043659297373295,-0.0161214576692881,2.037301798721284e-05
11.51575,-0.01705,0.00298,-28.895950087587913,0.004300532611102226,28.878900087587912,0.0052321105434760965,-28.88048056394976,0.0043004899306227,-0.0154695236381534,1.9159743382936707e-05
