Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-24 15:49:00.266209
Creating the simulation system...

System Time is: 2023-03-24 15:49:08.478565
The simulation system has been created. Preparing for simulation...
bubble radius: 2.0254 A

System Time is: 2023-03-24 15:49:15.083416
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
1000,-38997.02062484004,--
2000,-39521.99912582491,18:47:17
3000,-40328.647523206855,18:58:34
4000,-40033.771949408736,19:04:22
5000,-40234.79131890919,19:09:47
6000,-40383.43453948011,19:14:50
7000,-40184.099628630036,19:18:56
8000,-40794.20386344366,19:22:45
9000,-40410.51008419366,19:26:41
10000,-40749.99329283343,19:29:58
11000,-40152.864437364624,19:33:09
12000,-39993.619119429706,19:36:21
13000,-40057.569809515546,19:38:01
14000,-40355.253225038905,19:40:25
15000,-40064.49658126418,19:43:29
16000,-39677.6426039967,19:46:43
17000,-40349.33417657629,19:57:29
18000,-39810.81228898713,20:12:44
19000,-40083.12829325896,20:27:00
20000,-40417.96670274592,20:39:22
21000,-40420.39125799626,20:50:13
22000,-40512.95585714429,20:59:45
23000,-40332.97314495259,21:08:31
24000,-40348.921512464745,21:16:14
25000,-40304.29376564564,21:23:02
26000,-40225.48534833337,21:30:18
27000,-39995.554875988986,21:44:42
28000,-40196.502742830635,21:50:18
29000,-40177.96791671423,21:55:27
30000,-39894.761162367926,22:07:11
31000,-40755.788081446764,22:13:47
32000,-40434.35895768256,22:19:47
33000,-40689.085828062,22:25:24
34000,-40495.49645470496,22:30:43
35000,-40831.344457679465,22:35:37
36000,-40738.1164870761,22:40:15
37000,-39747.12751843716,22:44:32
38000,-40206.75311019384,22:48:36
39000,-40348.90572899635,22:51:01
40000,-40207.71643059686,22:52:38
41000,-39929.73307939328,22:55:32
42000,-39558.16554290416,22:58:28
43000,-40215.85307451804,23:01:07
44000,-40668.10848005608,23:03:33
45000,-40208.29641893997,23:05:39
46000,-39936.31452179275,23:07:35
47000,-39865.023512354186,23:09:37
48000,-40595.386111761734,23:11:44
49000,-39643.08231945987,23:13:41
50000,-40318.88694985687,23:15:22
51000,-40885.08785677872,23:17:05
52000,-40550.98612148332,23:18:53
53000,-40023.223200227745,23:20:41
54000,-40457.85152034373,23:22:21
55000,-40452.74971702624,23:23:53
56000,-40785.12834378454,23:25:17
57000,-40566.44402831675,23:26:44
58000,-39722.775130983515,23:28:03
59000,-40201.174110495136,23:29:16
60000,-40138.496604175285,23:30:30
61000,-39942.48048868573,23:31:48
62000,-40202.36741595522,23:33:01
63000,-40192.833330518566,23:34:14
64000,-40297.28615393758,23:35:23
65000,-39936.20105576473,23:36:41
66000,-40026.98126549435,23:38:01
67000,-40185.96993820556,23:39:11
68000,-40343.261642675,23:40:05
69000,-40383.25555967608,23:40:57
70000,-40012.11683979865,23:41:50
71000,-40639.21055935208,23:42:44
72000,-39843.022049571424,23:43:26
73000,-39856.90425293222,23:45:06
74000,-40218.7813472769,23:48:48
75000,-39652.0057586597,23:49:04
76000,-40397.9264153935,23:51:27
77000,-40344.61517688916,23:53:31
78000,-40232.40026606794,23:54:13
79000,-40387.261650231696,23:54:58
80000,-40176.696679434404,23:55:36
81000,-39739.16603939855,23:56:20
82000,-40338.5739646311,1:0:00:16
83000,-39931.18757289577,1:0:01:25
84000,-40421.990634868416,1:0:02:43
85000,-40205.21347159376,1:0:03:53
86000,-39946.12463728939,1:0:05:01
87000,-40408.46018374336,1:0:05:59
88000,-40161.15688069616,1:0:07:07
89000,-39832.20746396028,1:0:10:06
90000,-40411.13520601124,1:0:12:27
91000,-40128.43244852964,1:0:12:59
92000,-40425.402639635766,1:0:15:24
93000,-39843.74824033136,1:0:19:26
94000,-40681.61049489232,1:0:19:37
95000,-40655.9724602853,1:0:21:23
96000,-40498.401744418945,1:0:24:08
97000,-40961.8107323613,1:0:24:20
98000,-40780.17334446155,1:0:27:38
99000,-39672.31280191574,1:0:28:05
100000,-40168.91793042136,1:0:28:26

System Time is: 2023-03-24 16:06:54.232344
Starting production...

101000,-40390.13299550713,1:0:29:50
102000,-40346.01580438959,1:0:31:15
103000,-39985.45900216273,1:0:34:10
104000,-40985.208461416034,1:0:36:11
105000,-39915.30201461997,1:0:38:06
106000,-40181.35695939635,1:0:39:59
107000,-40236.764016948175,1:0:41:48
108000,-40264.97765120337,1:0:42:48
109000,-39537.082416934354,1:0:44:34
110000,-40833.42346098201,1:0:46:17
111000,-40032.684547966404,1:0:47:56
112000,-39752.81250959778,1:0:49:35
113000,-40351.80619202187,1:0:51:10
114000,-39841.22040492568,1:0:52:46
115000,-40876.119737199224,1:0:54:17
116000,-40548.2229763958,1:0:55:47
117000,-40262.54289743766,1:0:56:28
118000,-41264.12544891354,1:0:57:27
119000,-40609.128609811836,1:0:58:23
120000,-40013.87518552394,1:0:59:18
121000,-40399.92605050653,1:1:02:12
122000,-40086.57384953513,1:1:03:35
123000,-40710.81169050076,1:1:05:02
124000,-39948.212444559846,1:1:06:26
125000,-40273.09166943423,1:1:07:43
126000,-39919.94096074451,1:1:09:03
127000,-40268.316450667604,1:1:10:14
128000,-40166.13953785418,1:1:11:01
129000,-40014.19927347856,1:1:12:03
130000,-40587.78949288929,1:1:13:07
131000,-40408.435252211275,1:1:14:09
132000,-40860.9276056682,1:1:15:07
133000,-41151.15286179577,1:1:16:06
134000,-40296.10958282367,1:1:17:04
135000,-40778.480478312646,1:1:17:56
136000,-40294.922520849876,1:1:18:46
137000,-40290.61267555385,1:1:19:41
138000,-40586.92120377654,1:1:20:34
139000,-40966.2109012461,1:1:21:31
140000,-41002.20004296908,1:1:22:46
141000,-40377.05016850328,1:1:24:04
142000,-40704.57969646794,1:1:25:16
143000,-40019.20822254861,1:1:26:29
144000,-39989.006572017846,1:1:27:39
145000,-40761.305647099885,1:1:28:44
146000,-39916.0499598492,1:1:29:31
147000,-40765.73846884698,1:1:31:01
148000,-40207.603391518765,1:1:32:24
149000,-40443.37550500245,1:1:33:10
150000,-40299.1057873074,1:1:33:22
151000,-39931.21125863753,1:1:34:13
