r,elect_mean,elect_var,elect_seom,vdw_mean,vdw_var,vdw_seom
0.03545,,,,,,
0.10635,,,,,,
0.17724,,,,,,
0.24814,,,,,,
0.31904,,,,,,
0.38993,,,,,,
0.46083,,,,,,
0.53173,,,,,,
0.60263,,,,,,
0.67352,,,,,,
0.74442,,,,,,
0.81532,,,,,,
0.88622,,,,,,
0.95711,,,,,,
1.02801,,,,,,
1.09891,,,,,,
1.1698,,,,,,
1.2407,,,,,,
1.3116,,,,,,
1.3825,,,,,,
1.45339,,,,,,
1.52429,,,,,,
1.59519,,,,,,
1.66609,,,,,,
1.73698,,,,,,
1.80788,,,,,,
1.87878,,,,,,
1.94967,,,,,,
2.02057,,,,,,
2.09147,,,,,,
2.16237,,,,,,
2.23326,,,,,,
2.30416,,,,,,
2.37506,,,,,,
2.44595,,,,,,
2.51685,,,,,,
2.58775,,,,,,
2.65865,,,,,,
2.72954,,,,,,
2.80044,,,,,,
2.87134,,,,,,
2.94224,-83.20150000000001,65.91973803999997,4.687562907666768,4.382366666666667,5.874751423333332,1.3993750299488854
3.01313,-80.39101500000001,26.877278731868444,1.1592514552906208,2.90579,3.274622706210526,0.4046370414464379
3.08403,-79.96901818181819,24.39807520149999,0.4490400707468806,1.7847900826446284,1.9125397174008263,0.12572236621599586
3.15493,-78.58206171284634,26.434136242621303,0.25804016364113325,0.7796405541561712,1.6392614008007016,0.06425824395651163
3.22582,-78.33307992565055,26.970048784266414,0.15831961691660115,0.15099135687732343,1.3517102733298798,0.03544342412216413
3.29672,-77.68439102787457,29.092666903570876,0.11256563494488363,-0.32194947735191637,1.075648496479031,0.021644584105834894
3.36762,-77.29910580923388,31.93953615382819,0.09001315670482045,-0.6260887874175545,1.0448834785141825,0.016280795496770317
3.43852,-76.50204712681101,32.52762706124484,0.07276724511608869,-0.9062573335503825,0.8158889965853311,0.011524584601349114
3.50941,-76.21770281803543,38.43746350744281,0.06649171618733431,-1.0401482171612606,0.7764255156042074,0.009450180020292888
3.58031,-76.0500962572996,48.17879782275995,0.06529055015096824,-1.1451139621305964,0.7196703904572002,0.007979747804181097
3.65121,-76.01804512723713,62.89878423151487,0.06631203789398185,-1.1767352768456376,0.723909644723436,0.0071139929536152965
3.72211,-76.53430771960444,87.66367974343618,0.0714121173388501,-1.1738443746364164,0.800814540492813,0.00682539887747936
3.793,-77.91812055186462,135.45568105946182,0.08104827034528234,-1.0814612821880607,1.0010495473233578,0.006967434997533536
3.8639,-80.74457734146056,205.0889506006943,0.08951803348106617,-0.8841569335365139,1.3641013992603963,0.007300670179414279
3.9348,-84.71387669944033,277.0332466924402,0.09154768468862627,-0.6181691181364393,1.6993597438081862,0.007170081336248698
4.00569,-87.96085192252784,303.67220657953067,0.08500278613323424,-0.4749360807080994,1.5279892917940328,0.006029631811629262
4.07659,-88.71536628777665,289.59363805327956,0.0775035219783538,-0.5107976644334281,1.1648930334204035,0.004915525507925924
4.14749,-87.30317472399535,260.7139257254614,0.07234174332847135,-0.6046566803163514,0.9559890577088525,0.004380597152503139
4.21839,-84.82336127982646,225.72958984612137,0.06796586537204775,-0.6663445319854295,0.8709069892042172,0.004221652602703473
4.28928,-83.06371993013536,196.80949797772155,0.06397084572794481,-0.6539870189008795,0.865489679336381,0.0042421889882246185
4.36018,-81.69457152135448,177.66324314328278,0.05976966619052712,-0.6301342535992922,0.7982230679978066,0.0040063065280954695
4.43108,-80.56293254361871,163.7717897064532,0.05688603569987036,-0.6219128830840365,0.6985684826908825,0.0037152720110542737
4.50197,-79.46290821708388,151.90365860651912,0.05387766301783077,-0.6237591534492642,0.6079971725823238,0.003408595077295287
4.57287,-78.2701020839076,141.8345768564501,0.0510532931252409,-0.633493553485124,0.52087619280797,0.00309385500371016
4.64377,-77.02518051484061,134.34013225785003,0.04961192975280421,-0.6352052638329059,0.4684919923171599,0.002929775347964622
4.71467,-75.76785282485875,129.07373510570423,0.048501085516290315,-0.6363847712775651,0.4180756017976445,0.002760323175156107
4.78556,-74.2205794216568,126.39428000392287,0.04806603418926289,-0.6445700409446516,0.3620862246892933,0.0025726492668785884
4.85646,-72.58251712175634,124.31322707359594,0.04772980411524399,-0.6583067768655622,0.29791380864613703,0.0023365565618230426
4.92736,-70.71828446921664,121.05031443466139,0.047864539547002295,-0.6796081476995288,0.23061519376603962,0.0020891753012089787
4.99826,-68.88639621809881,116.53840985780296,0.04788648290317273,-0.6960996851695166,0.17816243965673106,0.0018723475741001564
5.06915,-67.06540990840627,108.61630659811291,0.047019080665551986,-0.7123864563403216,0.13191827052266683,0.0016386231736442286
5.14005,-65.4524305085826,100.99653654459898,0.04632035881114716,-0.7206339479945617,0.09649572144953675,0.0014317681697736202
5.21095,-63.89226370420773,91.37377545596088,0.044784083765267095,-0.7215188568669199,0.07428748079174004,0.001276940683939396
5.28184,-62.536525446136494,81.30473618943684,0.042828567667475545,-0.7089165437112239,0.05991787329795379,0.0011626629225978792
5.35274,-61.372344980672636,72.52303481437971,0.04097142151069888,-0.6890897252505613,0.049874456068909306,0.0010744399144472473
5.42364,-60.52955208931195,66.02485744969317,0.039248456879684306,-0.6665080632743053,0.04102369635075451,0.0009783319679475108
5.49454,-59.60515604372256,59.55491017787667,0.037496528689570784,-0.6401724160725246,0.038070112369878804,0.000948034967740389
5.56543,-58.946305259433956,54.6234738037113,0.03589274963697578,-0.6093215707547169,0.03349516488576129,0.000888808361745919
5.63633,-58.31300998367537,50.69049917806594,0.034382376812974604,-0.5776217560634328,0.030766824838120436,0.0008470595655592472
5.70723,-57.84896744561955,46.84709507010661,0.03289025928764561,-0.5459714011915209,0.027451097235662802,0.0007961700167099026
5.77813,-57.268419208397404,43.263429126355604,0.031051143299000616,-0.5145554389249182,0.025166125094052368,0.0007489025361623924
5.84902,-56.826480464641186,40.784827213671115,0.02977174697186934,-0.4830476485417481,0.022268432054866814,0.000695664473848164
5.91992,-56.44535016777819,38.455574653937944,0.028398959022785095,-0.4531345434335807,0.02028110362646557,0.0006521816277068388
5.99082,-56.013970142265805,36.79679172365361,0.027191840848495866,-0.426027432383555,0.01806899848546782,0.0006025605200085998
6.06171,-55.60097555650188,34.73297642743233,0.025928977642863695,-0.3989248557934265,0.016492809192866636,0.0005650172535279122
6.13261,-55.19406627324081,32.89481399542229,0.024805107683013194,-0.3733260895589391,0.014820382970956237,0.0005265105918875705
6.20351,-54.82201087133406,31.287139154306878,0.02352491536232281,-0.34928299253546535,0.013804675946037294,0.0004941493755645952
6.27441,-54.39459641209026,29.804971066251607,0.0225285292158461,-0.3247849910600255,0.012620720217817672,0.0004635862613087285
