r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03532,inf,,,,,,,,,,0.0,0.0
0.10597,inf,,,,,,,,,,0.0,0.0
0.17661,inf,,,,,,,,,,0.0,0.0
0.24726,inf,,,,,,,,,,0.0,0.0
0.3179,inf,,,,,,,,,,0.0,0.0
0.38855,inf,,,,,,,,,,0.0,0.0
0.4592,inf,,,,,,,,,,0.0,0.0
0.52984,inf,,,,,,,,,,0.0,0.0
0.60049,inf,,,,,,,,,,0.0,0.0
0.67113,inf,,,,,,,,,,0.0,0.0
0.74178,inf,,,,,,,,,,0.0,0.0
0.81242,inf,,,,,,,,,,0.0,0.0
0.88307,inf,,,,,,,,,,0.0,0.0
0.95371,inf,,,,,,,,,,0.0,0.0
1.02436,inf,,,,,,,,,,0.0,0.0
1.095,inf,,,,,,,,,,0.0,0.0
1.16565,inf,,,,,,,,,,0.0,0.0
1.2363,inf,,,,,,,,,,0.0,0.0
1.30694,inf,,,,,,,,,,0.0,0.0
1.37759,inf,,,,,,,,,,0.0,0.0
1.44823,inf,,,,,,,,,,0.0,0.0
1.51888,inf,,,,,,,,,,0.0,0.0
1.58952,inf,,,,,,,,,,0.0,0.0
1.66017,inf,,,,,,,,,,0.0,0.0
1.73081,inf,,,,,,,,,,0.0,0.0
1.80146,inf,,,,,,,,,,0.0,0.0
1.8721,inf,,,,,,,,,,0.0,0.0
1.94275,inf,,,,,,,,,,0.0,0.0
2.0134,inf,,,,,,,,,,0.0,0.0
2.08404,inf,,,,,,,,,,0.0,0.0
2.15469,inf,,,,,,,,,,0.0,0.0
2.22533,inf,,,,,,,,,,0.0,0.0
2.29598,inf,,,,,,,,,,0.0,0.0
2.36662,inf,,,,,,,,,,0.0,0.0
2.43727,inf,,,,,,,,,,0.0,0.0
2.50791,inf,,,,,,,,,,0.0,0.0
2.57856,inf,,,,,,,,,,0.0,0.0
2.6492,inf,,,,,,,,,,0.0,0.0
2.71985,inf,,,,,,,,,,0.0,0.0
