ion,sim_kcal_mol,sim_seom,exp_or_qm
acet,-102.33,0.17000000000000001,-77.200000000000003
esna,-85.069999999999993,0.20999999999999999,
mso4,-78.939999999999998,0.20000000000000001,-67.5
guan,-58.560000000000002,0.19,-79.700000000000003
imim,-48.960000000000001,0.17000000000000001,-64
mamm,-58.789999999999999,0.17000000000000001,-72.016666670000006
