engine,anion,cation,Ka_M-1,Ka_err_M-1,p_bound,p_err,p_unbound_anion,p_unbound_cation,p_bound_from_Ka,c_M
gromacs,acet,guan,8.326652620613011,0.13332258974815162,0.4153541279066244,0.0027294960412734843,0.2947076255522359,0.3439710079934065,0.6131580539913071,0.49207904573163136
gromacs,esna,guan,1.7267271144776095,0.012101664198182644,0.2858082188460163,0.0012248511148559489,0.5856033840168231,0.5752313482131495,0.3540351424936189,0.4913657501092277
gromacs,mso4,guan,1.3171861231447881,0.008225583508318642,0.26010690196411146,0.00118112922694044,0.6382968408166728,0.6305458423983855,0.30877847676944153,0.49064273020462723
gromacs,acet,imim,1.0489567479446522,0.008785605930838882,0.24897128070249863,0.0017595508952676596,0.6951354758167637,0.6964626600650866,0.2723140117128473,0.4902576531212716
gromacs,esna,imim,0.576507235021551,0.003490331662853876,0.1771336456357455,0.0009881218150770317,0.7907109223021496,0.7911139257382841,0.18711320308169463,0.4911787074350709
gromacs,mso4,imim,0.7671031219855208,0.004205871474429812,0.20822551223857805,0.0010094733045587787,0.7431504566362243,0.7451806243220149,0.22553016905085302,0.490164535352381
gromacs,acet,mamm,1.00704039308904,0.009016559484606603,0.24323226936386058,0.0018344948324961307,0.6984655568416651,0.7073801140530025,0.2655505375560484,0.48885094555154446
gromacs,esna,mamm,0.35090810197063876,0.0025529180981304074,0.12641278460223865,0.0008921509166475356,0.8569792316875845,0.8582549042185067,0.13006905075925587,0.4897912377998307
gromacs,mso4,mamm,0.31392534921581405,0.002214696177697697,0.1164255716285581,0.000801294295830465,0.8682633278993521,0.8693329535606718,0.11956528300792986,0.4913425684928364
openmm,acet,guan,0.906990253029029,0.012385281168947711,0.22462335910321896,0.0026254222022641625,0.7216673881746519,0.7230416091977167,0.24522784341722606,0.4746083967465768
openmm,esna,guan,3.890908713900955,0.06414095914854395,0.36575824995867057,0.0033649794144350797,0.452911671344514,0.44330476752530334,0.48434549159191836,0.46815167485341785
openmm,mso4,guan,3.31684577497018,0.05409420767071362,0.3364825454545455,0.00254496394828817,0.46687636363636364,0.46266254545454544,0.4578350785012664,0.4695922882142254
openmm,acet,imim,0.5626249148547107,0.006447597595147508,0.17169872727272728,0.0018424088001496794,0.802638,0.8044703636363636,0.17916011428748294,0.472612787444537
openmm,esna,imim,1.7134217889470682,0.017777821897264436,0.30106,0.0022078268512836425,0.6115470909090909,0.6157916363636363,0.34399163645407826,0.46651417646164056
openmm,mso4,imim,2.0498784608032805,0.02202824476589189,0.311604,0.0021239916663796767,0.5685254545454546,0.5716298181818181,0.37478492628719046,0.46772988877503213
openmm,acet,mamm,0.34170497049917314,0.007396151153588429,0.12385418181818182,0.002623638589638012,0.8703078181818181,0.871600909090909,0.12499060648393383,0.4777499480606692
openmm,esna,mamm,1.2703514180877402,0.020468557685814112,0.2701687272727273,0.0034036498290470813,0.6687703636363637,0.6742787272727273,0.29647371801327504,0.47152168514686976
openmm,mso4,mamm,0.9030413850201584,0.009824911468912356,0.2278469090909091,0.0021504399960600436,0.73149,0.7292038181818182,0.24405599108588252,0.4729362031419253
