engine,anion,cation,Ka_M-1,Ka_err_M-1,p_bound,p_err
gromacs,acet,guan,1.8200691801696762,0.05986327336394252,0.3631933731878051,0.03821736359860322
gromacs,esna,guan,1.0282958822865185,0.04051298312314486,0.2695730796539156,0.04667773519391535
gromacs,mso4,guan,0.8668334722034783,0.03607106012755276,0.24343858598619053,0.04975193977686038
gromacs,acet,imim,0.6620271994722752,0.031730117895738714,0.20508739916546823,0.0582521018363692
gromacs,esna,imim,0.43403007974327373,0.024539487586072203,0.15295723780033776,0.07068772014976642
gromacs,mso4,imim,0.5467674138906783,0.026754216965958075,0.18014396147981854,0.06022907874308837
gromacs,acet,mamm,0.659708725778199,0.03506438540351907,0.20422511365758753,0.06462617724038407
gromacs,esna,mamm,0.2953760910339946,0.02064578093929299,0.11365570863081684,0.08968454082625761
gromacs,mso4,mamm,0.2672420441721605,0.019365289433149965,0.10514615458801188,0.09355074214083832
namd,acet,guan,2.1525645404062823,0.05504878564073237,0.3826936622496533,0.02966729859526334
namd,esna,guan,1.7530168239459174,0.04968478202254024,0.34553118979507186,0.0330037950889833
namd,mso4,guan,1.351576285724948,0.03764293964535749,0.302884074550992,0.03269425977843326
namd,acet,imim,0.9671365584152003,0.029777754905729106,0.25177511095639726,0.036698760255550376
namd,esna,imim,0.6735510175155046,0.02169642796004229,0.1982407932052408,0.039280336884927755
namd,mso4,imim,0.8225813624402567,0.024795827647215093,0.22593402124470638,0.036294643042685516
namd,acet,mamm,0.8784878781270516,0.030669576156062715,0.23875308399088374,0.04181620059581173
namd,esna,mamm,0.5239375528542093,0.021716161679952127,0.1676489108651323,0.051372992694162053
namd,mso4,mamm,0.37901220672736513,0.01788093386622127,0.13203627478294813,0.059774488953586426
namd_scaled,acet,guan,0.9962914052750518,0.025978390752774225,0.2556440512148627,0.031036771518243918
namd_scaled,esna,guan,1.7269387419030604,0.04529086513862173,0.3417927366714243,0.03055600605861277
namd_scaled,mso4,guan,1.7638871979902166,0.04258302462849894,0.3459457018455181,0.028110399368892376
namd_scaled,acet,imim,0.5196851161832827,0.018190719442821406,0.16633662794081358,0.04341778594920243
namd_scaled,esna,imim,0.9496997239822205,0.027521488301833878,0.24556499103988716,0.0346197380751342
namd_scaled,mso4,imim,1.0806541740072662,0.028039685198787894,0.2656261753048245,0.030780170159723667
namd_scaled,acet,mamm,0.2987865798353442,0.013782897269408373,0.10997373053025365,0.05934510363650491
namd_scaled,esna,mamm,0.5516340681775452,0.020179575095905074,0.17294194000165916,0.04520579301426536
namd_scaled,mso4,mamm,0.5734967859491857,0.021199742774484436,0.17813860296127196,0.04555000974475243
openmm,acet,guan,0.6216706988719167,0.0189548279080574,0.192429258335134,0.0372891701367556
openmm,esna,guan,1.479123677802802,0.02954584374461473,0.32010329936339865,0.02336118941143779
openmm,mso4,guan,1.4734754772611323,0.026925369256125996,0.31997932304278087,0.02137140431818304
openmm,acet,imim,0.4194296547527407,0.012964338501056076,0.14493590052296645,0.038837336297553184
openmm,esna,imim,0.9087988610825433,0.01895824010079277,0.24297663539874623,0.02494573547294386
openmm,mso4,imim,1.061275525749606,0.02055434043810748,0.2668341721994829,0.022966399662840826
openmm,acet,mamm,0.26879110585318056,0.012492755286106615,0.10326595937573722,0.06008583862530637
openmm,esna,mamm,0.754673483861369,0.021124757432832444,0.21775247842986112,0.03382354341856272
openmm,mso4,mamm,0.5953025760096262,0.016638856032788227,0.18637942279305572,0.03428975501839924
