Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:39.144498
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));

System Time is: 2023-03-23 19:35:47.395239
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:48.174853
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
1000,-40835.47923744548,--
2000,-39737.67672825334,1:7:46:09
3000,-39329.84067183225,1:7:49:25
4000,-39369.189672050954,1:7:53:03
5000,-39852.548480554535,1:7:56:40
6000,-40499.473525078654,1:8:00:04
7000,-40372.168064467856,1:8:04:00
8000,-39583.07413852025,1:8:07:13
9000,-40415.730759437174,1:8:10:16
10000,-40548.79258692673,1:8:12:40
11000,-40166.66839151301,1:8:14:58
12000,-40247.610993967224,1:8:17:44
13000,-40257.26670345753,1:8:19:47
14000,-40318.2873090628,1:8:21:23
15000,-40112.09846406023,1:8:22:48
16000,-39532.51820651702,1:8:24:05
17000,-39997.06286734567,1:8:25:37
18000,-40245.93057317121,1:8:26:46
19000,-40232.367659993906,1:8:27:33
20000,-40467.17226122484,1:8:28:56
21000,-39640.9240458963,1:8:31:12
22000,-40193.392682086225,1:8:33:03
23000,-40362.858917451194,1:8:34:32
24000,-39286.49616828129,1:8:35:34
25000,-39809.743426574634,1:8:37:05
26000,-39273.32759571055,1:8:37:41
27000,-39208.76498160949,1:8:38:09
28000,-40057.380617101066,1:8:38:35
29000,-40085.60893843204,1:8:38:47
30000,-40241.23570207639,1:8:38:46
31000,-40378.08576453704,1:8:38:50
32000,-40457.037118413034,1:8:39:07
33000,-40012.61106668161,1:8:39:07
34000,-40344.70058453374,1:8:39:06
35000,-40188.517279642714,1:8:39:06
36000,-40063.977704654346,1:8:39:01
37000,-39722.73705550493,1:8:38:55
38000,-39822.82471125342,1:8:38:58
39000,-39531.92798256966,1:8:38:52
40000,-38832.56964384821,1:8:38:55
41000,-39896.060468692915,1:8:39:15
42000,-39303.41194046906,1:8:39:56
43000,-40089.16493550879,1:8:40:11
44000,-40078.66404439062,1:8:40:08
45000,-39932.194321540315,1:8:40:07
46000,-40580.0352692555,1:8:40:15
47000,-39991.54656915589,1:8:40:27
48000,-40019.80508496152,1:8:40:22
49000,-39512.60197027128,1:8:40:16
50000,-40343.661376491465,1:8:40:10
51000,-40722.41711765043,1:8:40:03
52000,-39775.45545921178,1:8:39:57
53000,-40225.54915435646,1:8:39:53
54000,-39391.3630621754,1:8:39:44
55000,-40075.5036205011,1:8:39:42
56000,-39682.093873276775,1:8:39:42
57000,-40096.30195582959,1:8:39:40
58000,-39973.857858395044,1:8:39:33
59000,-40426.58068738643,1:8:39:32
60000,-40337.643349676095,1:8:39:30
61000,-39851.064749743615,1:8:39:25
62000,-40126.4764919734,1:8:39:20
63000,-39662.64737534666,1:8:39:12
64000,-39806.64210923273,1:8:39:04
65000,-40476.39481387446,1:8:38:59
66000,-40232.252628628245,1:8:38:51
67000,-40114.345552037776,1:8:38:44
68000,-40322.502584753456,1:8:38:37
69000,-40438.55921079539,1:8:38:34
70000,-40719.35126870545,1:8:38:28
71000,-40207.06999615407,1:8:38:23
72000,-39718.52087542617,1:8:38:16
73000,-40305.51944609037,1:8:38:08
74000,-39424.3674222532,1:8:38:00
75000,-39974.80876304802,1:8:37:51
76000,-40755.133320692636,1:8:37:44
77000,-39835.28192677275,1:8:37:36
78000,-40263.08305119331,1:8:37:27
79000,-39572.45636310378,1:8:37:18
80000,-39669.57959334495,1:8:37:06
81000,-40367.912250641726,1:8:36:50
82000,-40072.28898000657,1:8:36:38
83000,-39335.27896342109,1:8:36:31
84000,-39607.96706891185,1:8:36:22
85000,-39986.077541043865,1:8:36:17
86000,-40043.36492885181,1:8:36:05
87000,-39584.86556521448,1:8:35:50
88000,-40210.457843963115,1:8:35:39
89000,-39813.55745431998,1:8:35:23
90000,-38980.040278224486,1:8:35:09
91000,-39313.914383799776,1:8:34:50
92000,-39659.67132241665,1:8:34:34
93000,-39954.08680999743,1:8:34:20
94000,-39251.760742427934,1:8:34:12
95000,-39737.685834333395,1:8:34:01
96000,-39672.38310525239,1:8:33:50
97000,-39996.05918992641,1:8:33:43
98000,-39413.889898771464,1:8:33:46
99000,-40312.99019058376,1:8:33:37
100000,-39397.37456850053,1:8:33:20

System Time is: 2023-03-23 19:49:51.487594
Starting production...

101000,-40059.23579740657,1:8:34:53
102000,-40403.13823542131,1:8:36:23
103000,-40233.95689058858,1:8:37:56
104000,-39997.80129397698,1:8:39:24
105000,-40197.63269893629,1:8:40:58
106000,-40150.25257344272,1:8:42:34
107000,-39721.3727815132,1:8:44:00
108000,-39977.18086418418,1:8:45:22
109000,-39399.42391285984,1:8:46:46
110000,-39991.1364975223,1:8:48:07
111000,-39946.156562739634,1:8:49:21
112000,-40072.361198104394,1:8:50:36
113000,-40492.817685209244,1:8:51:55
114000,-40616.5935014572,1:8:53:19
115000,-39555.0612762418,1:8:54:27
116000,-40446.561191263274,1:8:55:35
117000,-39392.97707675254,1:8:56:44
118000,-40255.18967125703,1:8:57:53
119000,-39929.40762233701,1:8:58:57
120000,-39877.05830402807,1:9:00:02
121000,-39840.565669995805,1:9:01:06
122000,-40128.72867111994,1:9:02:13
123000,-40392.34848384221,1:9:03:19
124000,-40297.7957611304,1:9:04:20
125000,-39231.24143689861,1:9:05:24
126000,-40192.91611215694,1:9:06:34
127000,-39938.47579112987,1:9:07:44
128000,-39663.601523268175,1:9:08:49
129000,-39977.98436878294,1:9:09:55
130000,-39171.37743699118,1:9:10:50
131000,-39908.67469641652,1:9:11:48
132000,-40125.8306053167,1:9:12:45
