engine,anion,cation,Ka_M-1,Ka_err_M-1,p_bound,p_err,r_pmf_min,pmf_min,pmf_min_seom,anion_minus_cation_hydration,anion_minus_cation_hydration_err
openmm,acet,guan,0.6216706988719167,0.0189548279080574,0.192429258335134,0.0372891701367556,4.07659,-0.56717,0.00752,-23.8798977056,0.5881236048003905
openmm,esna,guan,1.479123677802802,0.0295458437446147,0.3201032993633986,0.0233611894114377,4.45136,-1.30718,0.00364,-6.793474765499994,0.6120900053740393
openmm,mso4,guan,1.4734754772611325,0.0269253692561259,0.3199793230427808,0.021371404318183,4.51795,-1.14651,0.00378,-4.851757859299994,0.594411353990217
openmm,acet,imim,0.4194296547527407,0.012964338501056,0.1449359005229664,0.0388373362975531,4.5083,-0.37445,0.00604,-28.8917256844,0.553984444144605
openmm,esna,imim,0.9087988610825432,0.0189582401007927,0.2429766353987462,0.0249457354729438,4.59917,-0.79328,0.00412,-11.805302744299993,0.5793647939852686
openmm,mso4,imim,1.061275525749606,0.0205543404381074,0.2668341721994829,0.0229663996628408,4.09648,-0.88921,0.00443,-9.863585838099993,0.5606551949133124
openmm,acet,mamm,0.2687911058531805,0.0124927552861066,0.1032659593757372,0.0600858386253063,3.43096,-1.07735,0.00544,-13.420325842599993,0.5985822424089123
openmm,esna,mamm,0.754673483861369,0.0211247574328324,0.2177524784298611,0.0338235434185627,3.58811,-1.58451,0.00371,3.666097097500014,0.6221458840840045
openmm,mso4,mamm,0.5953025760096262,0.0166388560327882,0.1863794227930557,0.0342897550183992,3.65551,-1.1995,0.0043,5.607814003700014,0.6047612621161834
