ion,total,total_seom,elect,elect_seom,vdw,vdw_seom,cov_term
acet,-39.856022178928576,0.1100296734294653,-37.02936719621129,0.10785920898583426,-3.530067445371517,0.014124553669288338,0.7034124626542524
esna,-38.6772287357708,0.09708760799842747,-34.13365073173135,0.08710031977365008,-5.425143112271375,0.020334481127258816,0.8815651082319256
mso4,-35.833469896920775,0.09643680682507841,-31.736915219755307,0.09421024280708531,-4.913339052293834,0.017627938774844663,0.8167843751283754
guan,-19.991384445359813,0.08535901668508972,-16.51393831118371,0.07959241502679533,-4.258471038641895,0.014390615154812056,0.7810249044657854
imim,-19.90360667714295,0.08554878577629199,-16.171351115712923,0.08131625365225253,-4.360617181289787,0.015391593485122645,0.6283616198597609
mamm,-23.167199421247012,0.08952203871848043,-20.30151890109512,0.08666710961798248,-3.5656277906418485,0.010699738484030902,0.6999472704899543
