Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:35.370757
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));
4.0*epsilon4*(frac^6)*((frac^6) - 1.0) + epsilon4;	                frac = sigma4/(r- bubble4 + sigma4*(2^(1/6)));	                r = min(bubble4,abs(periodicdistance(x, y, z, x4, y4, z4)));

System Time is: 2023-03-23 19:35:43.709568
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:44.489668
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
1000,-39603.31974557333,--
2000,-39145.74218902769,1:7:43:47
3000,-39773.623227143835,1:7:51:51
4000,-39864.56951706109,1:7:55:31
5000,-40265.26435161548,1:7:58:30
6000,-39854.79747906663,1:8:03:03
7000,-39981.53290493581,1:8:06:56
8000,-39890.88420006067,1:8:09:07
9000,-40198.21354985611,1:8:11:58
10000,-39974.4692817878,1:8:14:08
11000,-39806.46248098211,1:8:16:19
12000,-40484.99239345055,1:8:17:52
13000,-39889.64400281623,1:8:19:23
14000,-39851.79574123015,1:8:20:51
15000,-39892.112689271955,1:8:22:18
16000,-39773.95866825539,1:8:23:20
17000,-39848.13927594063,1:8:24:34
18000,-39881.8964377856,1:8:25:02
19000,-39639.1840304464,1:8:25:26
20000,-39512.27567047399,1:8:26:23
21000,-40237.21969887406,1:8:27:02
22000,-39455.88073754208,1:8:27:41
23000,-39852.20838678753,1:8:28:03
24000,-39908.06755508084,1:8:28:41
25000,-39978.95864833805,1:8:29:41
26000,-40328.25236145109,1:8:30:15
27000,-40013.004291282676,1:8:30:33
28000,-40188.58396784117,1:8:30:44
29000,-39785.02533112327,1:8:31:03
30000,-39290.60139989502,1:8:31:08
31000,-39625.76154559029,1:8:31:17
32000,-40207.75667804842,1:8:31:37
33000,-39475.34508318463,1:8:31:52
34000,-39254.77216536691,1:8:32:09
35000,-39490.48999801454,1:8:32:28
36000,-39579.05117487203,1:8:33:03
37000,-40245.697673402494,1:8:33:24
