Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:33:17.390083
Creating the simulation system...

System Time is: 2023-03-26 16:33:25.836066
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
169000,-39866.84188496318
170000,-39484.52297208957
171000,-39395.79863566059
172000,-39676.794952048884
173000,-40380.45098108181
174000,-40551.21196802064
175000,-40094.22819872944
176000,-39566.7260662233
177000,-39777.27466522786
178000,-40477.96825133483
179000,-40362.45183878241
180000,-39810.41333706037
181000,-40177.495374352846
182000,-39700.67190816413
183000,-39564.18009746235
184000,-39965.09438899715
185000,-39910.12825584276
186000,-40328.80125191167
187000,-39765.53349720956
188000,-40281.3425884827
189000,-40095.53819423593
190000,-40310.642389477216
191000,-39454.7010808316
192000,-40268.226122497836
193000,-39677.071383170274
194000,-40239.94023529501
195000,-40003.57281377632
196000,-40831.43875475464
197000,-40030.203712599294
198000,-39479.5733055227
199000,-39768.98062963521
200000,-40097.088880539595
201000,-40301.33817056589
202000,-39590.07604409208
203000,-39908.419122939194
204000,-40017.65932995043
205000,-39285.08499985443
206000,-39426.9647510768
207000,-39732.24530377049
208000,-39938.81532037389
209000,-39678.84087302486
210000,-40553.55151008504
211000,-40350.50567146561
212000,-39455.358966795735
213000,-40252.7241939864
214000,-39741.57429263998
215000,-40735.420712741514
216000,-39229.0611818163
217000,-40133.810573372175
218000,-39480.14926371271
219000,-40007.983890474396
220000,-40367.821540565055
221000,-39946.00882193458
222000,-39928.715639256014
223000,-40003.279210906825
224000,-39839.1977711768
225000,-39974.26248319899
226000,-39650.21017589775
227000,-40006.22310121037
228000,-39775.813251882646
229000,-40103.93845018612
230000,-39866.099914320206
231000,-39908.62597015531
232000,-40019.88645953644
233000,-39921.265081816775
234000,-40122.637833037596
235000,-39507.447439363736
236000,-39855.65241965042
237000,-40031.77087168278
238000,-39964.16097191165
239000,-39870.28126974974
240000,-40974.91293722842
241000,-39868.85515304616
242000,-39698.62743136074
243000,-40129.82268370998
244000,-40114.06895622212
245000,-39444.33133466053
246000,-40142.93154892203
247000,-40232.78303208687
248000,-39683.53113620696
249000,-39850.69649088991
250000,-40170.996624519525
251000,-40082.59971302982
252000,-39225.220816259425
253000,-39833.39616065137
254000,-39982.489418278026
255000,-39579.12211719723
256000,-40124.033305386016
257000,-39933.87156454821
258000,-40112.79014005209
259000,-39620.005763333895
260000,-40243.727238309504
261000,-40108.88774518359
262000,-40197.859883039244
263000,-39344.04113902511
264000,-40128.085722872085
265000,-40399.00434467015
266000,-40044.322048348935
267000,-40035.26470820236
268000,-40144.83619354764
269000,-39993.22787816722
270000,-39698.42214917776
271000,-39480.538812601
272000,-40285.79545305676
273000,-40138.732420907516
274000,-39636.921892649036
275000,-40029.79156691587
276000,-40343.85901170902
277000,-39836.15788975072
278000,-39505.91999582412
279000,-40083.898891312405
280000,-40277.59372963304
281000,-39689.75007683931
282000,-39539.21990539101
283000,-40061.36039069514
284000,-39939.20723719094
285000,-40388.569251045294
286000,-40058.13814468155
287000,-39750.779146168774
288000,-40000.11894866003
289000,-39936.834819011645
290000,-40048.39696972963
291000,-39385.82243278366
292000,-39631.221258611164
293000,-39094.76125423155
294000,-40038.672781888425
295000,-39633.16054306524
296000,-40308.61873309674
297000,-40318.605816029565
298000,-39840.65226652313
299000,-39764.27940025398
300000,-39970.81295176839
301000,-40354.08296784015
302000,-39548.63963174237
303000,-39406.06416262593
304000,-39416.3091200604
305000,-40022.69593507198
306000,-39619.25438462227
307000,-40220.86009996933
308000,-39563.877669886424
309000,-39731.38446468908
310000,-40232.38877720854
311000,-39876.61533515129
312000,-40087.60110581655
313000,-40625.001764217086
314000,-39360.44921574977
315000,-40426.16201601061
316000,-39584.953289190205
317000,-40027.821019999916
318000,-40532.09542414601
319000,-40258.0765616908
320000,-39740.3640800213
321000,-39731.80517321745
322000,-39979.47481138572
323000,-40103.53356058635
324000,-39332.33325001528
325000,-39092.220914093414
326000,-39545.32788009589
327000,-39473.92273008713
328000,-40097.36637244462
329000,-39425.95843631975
330000,-40056.2935766148
331000,-39073.040009011
332000,-39419.23685811149
333000,-39838.752336916856
334000,-39004.96639490893
335000,-39781.92951297833
336000,-39569.828729450106
337000,-40281.600474826264
338000,-39978.873570530406
339000,-40000.432064252855
340000,-39683.20566705783
341000,-40277.94006801298
342000,-39952.02630556395
343000,-40170.54155746549
344000,-39657.193838367035
345000,-40029.670773349375
346000,-39701.850803227826
347000,-39558.89056584494
348000,-39338.16506662399
349000,-39781.62676002791
350000,-39983.44666591171
351000,-40261.16853847189
352000,-39795.09302395301
353000,-40276.99472655917
354000,-40031.333341593374
355000,-40245.20481566866
356000,-40247.489551310544
357000,-39586.35956118746
358000,-39859.919234031615
