r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
4.38145,-0.83089,0.00411,-70.66235053945049,0.014780070336627512,69.83146053945049,0.015340879347535996,-69.4496952137036,0.0146302935223061,-1.2126553257468782,0.0020988069484411
4.45269,-0.81205,0.00404,-70.30035579736887,0.015476290062409213,69.48830579736887,0.015994910255947865,-69.10491107441372,0.0153363491655555,-1.1954447229551448,0.002076523144102
4.52394,-0.79245,0.00404,-69.98473574503464,0.01621608599716494,69.19228574503464,0.016711763673156965,-68.80264626235565,0.0160896482737436,-1.1820894826789838,0.0020210550449378
4.59518,-0.77574,0.00404,-69.79354690576845,0.01705927296526924,69.01780690576845,0.01753112643567338,-68.62136021478635,0.016940893992019,-1.1721866909821044,0.0020062165523045
4.66642,-0.75824,0.00399,-69.63057880744748,0.0178751990984435,68.87233880744748,0.018315098766018036,-68.47171026787358,0.0177670071931836,-1.158868539573904,0.0019637205010789
4.73767,-0.73961,0.00401,-69.56199387478819,0.01872561041986912,68.82238387478819,0.01915015889220533,-68.4160909038164,0.0186245620625349,-1.1459029709717825,0.0019427232369786
4.80891,-0.7183,0.00407,-69.39945734698604,0.019186265631771324,68.68115734698604,0.019613201903128655,-68.25238630866885,0.0190910534588724,-1.1470710383171945,0.0019090486435305
4.88015,-0.69212,0.00412,-69.16803241039436,0.019603706551396795,68.47591241039436,0.020031967216259057,-68.01860116997565,0.019513516245581,-1.1494312404187086,0.0018782955802333
4.9514,-0.65686,0.00414,-68.71931213211407,0.019810091319266455,68.06245213211407,0.020238066065651535,-67.56183646034347,0.0197215693206589,-1.1574756717706038,0.0018706741052684
5.02264,-0.61834,0.0042,-68.23520009051232,0.02000165197598941,67.61686009051232,0.020437859030940617,-67.07590052295997,0.0199136104106464,-1.159299567552346,0.0018746205433624
5.09388,-0.57066,0.00423,-67.61437938997635,0.020176647872525256,67.04371938997635,0.020615286060879146,-66.45677089776062,0.0200846447428292,-1.157608492215734,0.0019246207226935
5.16512,-0.52734,0.00436,-66.90259214927359,0.020381201065349516,66.37525214927359,0.020842335686438895,-65.7516699866918,0.0202887825782533,-1.1509221625817898,0.0019387259627316
5.23637,-0.48172,0.0044,-66.18085435834082,0.020573434038669274,65.69913435834083,0.021038683137104268,-65.03784719175768,0.0204787754524708,-1.14300716658314,0.0019712798154384
5.30761,-0.44033,0.00445,-65.43426213441043,0.020644697121458184,64.99393213441043,0.021118854591022303,-64.29893895201712,0.0205514088452365,-1.1353231823933037,0.0019603861131621
5.37885,-0.4024,0.00453,-64.6854632022933,0.020804553725945717,64.2830632022933,0.021292025637213614,-63.56580386932198,0.0207113373235335,-1.1196593329713211,0.001967221900694
5.4501,-0.36193,0.00458,-63.91428645601464,0.02114057976156584,63.55235645601464,0.021631008128497553,-62.81087965175243,0.0210502462926661,-1.1034068042622132,0.0019522406801479
5.52134,-0.32968,0.00467,-63.113446891813155,0.0214288440175176,62.78376689181315,0.021931809226032856,-62.03461693070784,0.0213385938740217,-1.0788299611053138,0.0019646290761015
5.59258,-0.30308,0.00468,-62.487621431926826,0.021554757682996327,62.184541431926824,0.02205697120578184,-61.420932636989136,0.0214695777415231,-1.0666887949376884,0.0019143694453749
5.66383,-0.27482,0.00467,-61.719650007065134,0.02193757056321648,61.444830007065136,0.022429130661175932,-60.67846137770241,0.0218543364684615,-1.0411886293627244,0.0019091830031131
5.73507,-0.25987,0.00469,-61.11216541587168,0.02216677723048987,60.85229541587168,0.022657495730688423,-60.09550292700163,0.0220848052165741,-1.0166624888700446,0.0019045711675192
5.80631,-0.25221,0.00474,-60.462771431764224,0.022397310147161717,60.210561431764226,0.022893385547536504,-59.47312663221121,0.0223190082903389,-0.98964479955301,0.0018711950095959
5.87756,-0.2506,0.00472,-59.913325472239684,0.022529534575910802,59.662725472239686,0.02301865174607671,-58.948071936251054,0.0224528451032587,-0.965253535988628,0.0018573300665827
5.9488,-0.24326,0.00469,-59.35649558626838,0.022758786590211598,59.11323558626838,0.023237006413451694,-58.41536723273753,0.0226845508071001,-0.9411283535308504,0.0018367149313079
6.02004,-0.24845,0.00469,-58.83931892089812,0.022594591894837337,58.590868920898124,0.023076214656963325,-57.91967808319494,0.0225223871628189,-0.9196408377031816,0.0018048987180281
6.09129,-0.25273,0.00467,-58.21849437477015,0.02239315563340253,57.96576437477015,0.022874927742438607,-57.32969704028709,0.0223233986107572,-0.8887973344830646,0.0017661522264604
6.16253,-0.2556,0.00462,-57.607288997521856,0.022081212416529366,57.351688997521855,0.022559351537309105,-56.747171951324766,0.0220128264373828,-0.8601170461970928,0.0017364947513746
6.23377,-0.25736,0.00458,-56.94736070660598,0.02173841007292346,56.69000070660598,0.022215644768914092,-56.12162509880712,0.0216716725407506,-0.8257356077988538,0.0017020816035245
6.30501,-0.24764,0.00455,-56.17932004011365,0.02152113687149288,55.931680040113655,0.021996859599532164,-55.397130510255245,0.0214578198730215,-0.7821895298584083,0.0016496358805791
6.37626,-0.24403,0.00452,-55.392035463225014,0.02106442273286197,55.14800546322501,0.021543915732027734,-54.65306516623019,0.0210036549678359,-0.738970296994821,0.0015988693069837
6.4475,-0.23853,0.00448,-54.59527732231252,0.020521191408737142,54.35674732231252,0.021004516105686107,-53.902348978101344,0.0204634732487935,-0.692928344211173,0.0015380375255305
6.51874,-0.22718,0.00443,-53.80960965019768,0.020122905401055127,53.58242965019768,0.02060476211412822,-53.161047824428366,0.0200694996834718,-0.6485618257693108,0.0014650952989273
6.58999,-0.21469,0.00441,-52.966310251848434,0.01969100598352868,52.751620251848436,0.020178796213931153,-52.363505454020334,0.0196413202164451,-0.6028047978280962,0.0013979473518081
6.66123,-0.20454,0.00438,-52.1468271460943,0.019145368727027018,51.9422871460943,0.019639998566543332,-51.58791508563673,0.0190988383436706,-0.5589120604575728,0.0013339856131765
6.73247,-0.1945,0.00434,-51.39120643661311,0.01858666791251317,51.19670643661311,0.0190866399371405,-50.87071917011213,0.0185431266538668,-0.5204872665009792,0.0012714865271411
