Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:28.604364
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:36.788042
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:37.568083
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
127000,-39659.882674465945,1:8:59:08
128000,-39714.433466858354,1:9:00:04
129000,-40562.372298582115,1:9:01:01
130000,-40081.61510277029,1:9:01:57
131000,-39599.09744379899,1:9:02:51
132000,-40302.40386824706,1:9:03:42
133000,-40287.546544794604,1:9:04:30
134000,-40060.5605468555,1:9:05:18
135000,-39760.67322251208,1:9:06:05
136000,-38792.356377248936,1:9:06:53
137000,-39850.81119264619,1:9:07:41
138000,-39965.070411673936,1:9:08:28
139000,-39805.4331453812,1:9:09:15
140000,-40508.662462576365,1:9:09:58
141000,-39546.67533545736,1:9:10:42
142000,-40158.32453088238,1:9:11:26
143000,-39758.103370876604,1:9:12:08
144000,-40150.96327044743,1:9:12:50
145000,-39628.99766759641,1:9:13:33
146000,-39611.62110777067,1:9:14:15
147000,-40131.733708882995,1:9:14:54
148000,-40082.18762343444,1:9:15:32
149000,-39685.64894601789,1:9:16:06
150000,-40372.6252621526,1:9:16:41
151000,-39841.26191857048,1:9:17:19
152000,-39494.06060619553,1:9:17:54
153000,-40162.16280950294,1:9:18:33
154000,-40154.16175434829,1:9:19:09
155000,-40394.54389918581,1:9:19:46
156000,-40169.49141540126,1:9:20:18
157000,-40063.71190265723,1:9:20:54
158000,-40213.03184176148,1:9:21:25
159000,-39361.714197737405,1:9:21:55
160000,-39697.823829080204,1:9:22:24
161000,-40325.69718170716,1:9:22:51
162000,-39719.643539725264,1:9:23:19
163000,-39934.56459988696,1:9:23:44
164000,-39827.967222279316,1:9:24:09
165000,-39455.845666544876,1:9:24:32
166000,-40020.32140896774,1:9:24:57
167000,-39853.740807235146,1:9:25:21
168000,-40460.85077468278,1:9:25:35
169000,-41141.45980811729,1:9:25:59
