#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
30000,30.00000000001368,-56747.16553092713,16672.5893537082,-40074.57617721893,297.1403402579487,44.9729377051874,0.9977537433035372,241.9303798675537
31000,31.000000000014904,-56683.63300233425,17135.33365290686,-39548.2993494274,305.38740948032677,44.92190774235769,0.9988871621406444,250.41216325759888
32000,32.00000000001612,-57141.30858693513,16787.175516059717,-40354.13307087541,299.1825048280495,44.68606870417141,1.0041589749093043,258.8879864215851
33000,33.00000000001379,-56520.29616530145,16714.583786679952,-39805.712378621494,297.88876870163193,44.83915234037993,1.0007307141330162,267.35124230384827
34000,34.00000000001146,-56664.97711729548,16620.87732798216,-40044.09978931332,296.21872402943853,44.717658967033394,1.0034495986426266,275.82895135879517
35000,35.00000000000913,-56340.053470654355,17058.34986797858,-39281.70360267577,304.015397757214,44.450001113918866,1.0094919194199194,284.3199019432068
36000,36.0000000000068,-56560.59271545031,16849.78456639204,-39710.80814905827,300.29832877862475,44.49794827821969,1.0084041776971293,292.80883407592773
37000,37.00000000000447,-56577.601155017896,16624.75931013246,-39952.841844885435,296.2879090535847,44.92343913721674,0.9988531110819042,301.32722997665405
38000,38.00000000000214,-56372.299626266584,16915.84700123552,-39456.45262503106,301.4756992488747,44.84407684786524,1.0006208198896975,309.77129650115967
39000,38.99999999999981,-56211.35538042563,16581.47091889205,-39629.884461533584,295.516419572886,45.22178441517459,0.9922632979438627,318.2599718570709
40000,39.99999999999748,-56718.79866698968,16889.94282816091,-39828.855838828764,301.0140328191321,44.93531644063512,0.9985890942147616,326.67631340026855
41000,40.99999999999515,-55944.601432428884,16682.094056025446,-39262.50737640344,297.309733890856,45.28915968187139,0.9907871388629255,335.07472944259644
42000,41.999999999992816,-56399.47306013127,16672.243952034667,-39727.2291080966,297.1341844792258,44.7670772860927,1.0023418919208154,343.4591829776764
43000,42.999999999990486,-56260.33600695154,16728.34671378156,-39531.98929316998,298.1340527876943,44.73890406255898,1.0029730920534519,351.8687427043915
44000,43.999999999988155,-56504.00755681338,16751.713765751265,-39752.29379106212,298.55050242402865,45.08884625928708,0.9951888474738942,360.3004217147827
45000,44.999999999985825,-56061.2780106931,16723.55641827582,-39337.72159241728,298.04867972377997,44.62672179228052,1.00549435720527,368.7621192932129
46000,45.999999999983494,-56496.10733755961,16717.743818689414,-39778.363518870196,297.9450870674597,44.84973815297401,1.0004945132490597,377.17447447776794
47000,46.99999999998116,-56257.21238020444,16475.915264426167,-39781.297115778274,293.6351975012126,44.75006259825968,1.002722998301517,385.5668478012085
48000,47.99999999997883,-56731.80770712905,16834.203862051094,-39897.60384507796,300.02064810820764,44.818408457199844,1.0011938952620054,393.9602189064026
49000,48.9999999999765,-57120.78842405433,16724.89005968785,-40395.89836436648,298.07244799723435,45.150738152348005,0.9938246588859813,402.3423674106598
50000,49.99999999997417,-56927.935313483744,16996.65351156772,-39931.28180191602,302.9158399172363,45.03628231005006,0.9963503788742822,410.72439551353455
51000,50.99999999997184,-56688.33284605777,16503.440176832864,-40184.89266922491,294.12574888855767,45.48746666379897,0.9864677071237881,419.1005644798279
52000,51.99999999996951,-56600.0530918329,17085.695712785855,-39514.35737904705,304.5027577861988,45.26548797074989,0.9913052737154475,427.46504282951355
53000,52.99999999996718,-56787.09297618186,16655.543199996464,-40131.5497761854,296.83654222115075,45.19604138140955,0.9928284772560776,435.85991883277893
54000,53.99999999996485,-57129.91897422604,17107.64386446776,-40022.27510975828,304.89391965796545,45.498002543447505,0.9862392728089081,444.2587020397186
55000,54.99999999996252,-56888.20793696419,16925.04728607955,-39963.16065088464,301.6396675270484,45.757565999613206,0.9806447515824339,452.64888072013855
56000,55.99999999996019,-56716.88297344825,16992.110831622398,-39724.77214182585,302.8348798794162,45.51438255262982,0.9858843386663678,461.0227267742157
57000,56.99999999995786,-56542.959725884575,16567.335216140284,-39975.62450974429,295.26449184670406,45.63747843157203,0.98322515802418,469.4331724643707
58000,57.99999999995553,-57224.83708850953,16689.781695616344,-40535.055392893184,297.4467436735214,45.32387632182001,0.9900282275967887,477.8280026912689
59000,58.9999999999532,-56258.71573596179,16578.784011615924,-39679.931724345864,295.4685332772824,45.58121749592906,0.9844387536755705,486.31090235710144
60000,59.999999999950866,-56671.363382651965,16958.87636650721,-39712.487016144754,302.2425723461882,45.39918653749808,0.9883859241760848,494.7868950366974
61000,60.999999999948535,-56596.064708878424,16656.140861287655,-39939.92384759077,296.84719379276066,44.87202886264791,0.999997505797192,503.27171182632446
62000,61.999999999946205,-56843.37099427803,16877.528982829943,-39965.84201144809,300.7927921859408,44.99911936168106,0.997173224259098,511.7475235462189
63000,62.999999999943874,-56589.9798771726,16603.411330627474,-39986.568546545124,295.90744350265214,45.247609964799615,0.9916969532228471,520.2351496219635
64000,63.999999999941544,-56878.196974441445,17138.11136866742,-39740.085605774024,305.4369141726528,45.441915884217764,0.9874565380790159,528.7069170475006
65000,64.99999999994631,-56979.99230396685,16508.234537832548,-40471.7577661343,294.2111944080594,45.285074513487494,0.9908765178103677,537.1347270011902
66000,65.99999999995109,-56109.536452307104,16517.83088474603,-39591.705567561075,294.3822213389464,45.62362885160205,0.9835236273874751,545.6228294372559
67000,66.99999999995586,-56907.350717128385,16596.468420944526,-40310.88229618386,295.78370636129966,44.82585399709314,1.0010275977255751,554.107280254364
68000,67.99999999996064,-56640.554558477495,16612.005114947435,-40028.549443530064,296.06060267563737,45.305481860977274,0.9904301885674633,562.5592470169067
69000,68.99999999996541,-56852.90489844658,16943.39022396394,-39909.514674482634,301.96657696436904,44.983588045334535,0.9975175145540973,570.9813964366913
70000,69.99999999997019,-56718.604552794925,16337.454997771963,-40381.14955502296,291.1675465639162,44.881976275140694,0.9997758714462234,579.4049580097198
71000,70.99999999997496,-56001.76908259053,16489.7324705023,-39512.03661208823,293.8814489518886,44.99972060757486,0.9971599009251219,587.8703186511993
72000,71.99999999997974,-56243.38048869692,16565.14374628435,-39678.23674241257,295.2254352799739,45.170389299324256,0.9933923005480672,596.2816293239594
73000,72.99999999998451,-56576.03065369033,16537.80047030975,-40038.23018338058,294.7381210329489,44.86896525271071,1.0000657846683152,604.7136416435242
74000,73.99999999998929,-56852.319908346035,16780.280449543057,-40072.039458802974,299.05962035177555,44.783644830498346,1.001971079230895,613.2070171833038
75000,74.99999999999406,-56242.4286661295,16741.36522945309,-39501.063436676406,298.3660699083842,45.2318918445783,0.9920415687429635,621.7089400291443
76000,75.99999999999883,-56167.81841745946,16421.829351744393,-39745.98906571507,292.6712736525244,44.823295850606605,1.0010847281793593,630.2165861129761
77000,77.00000000000361,-56532.24555922734,16260.473771667608,-40271.77178755973,289.7955804443863,44.869225221231865,1.0000599903711815,638.7075731754303
78000,78.00000000000838,-56848.396845135125,16587.128433231686,-40261.26841190344,295.61724828642474,45.08514971261461,0.9952704433440657,647.1911602020264
79000,79.00000000001316,-56757.28420348369,16880.95500992824,-39876.329193555444,300.8538511394197,45.30003828982373,0.9905492056236873,655.5942947864532
80000,80.00000000001793,-56581.199529075304,16502.541109050195,-40078.65842002511,294.10972562419306,45.20970181429167,0.992528487071831,663.9975500106812
81000,81.00000000002271,-56829.994528370764,16573.684529413564,-40256.3099989572,295.3776498611194,44.73307291975972,1.0031038337830456,672.4057188034058
82000,82.00000000002748,-56867.36409046466,16889.572684356062,-39977.7914061086,301.007436083989,44.580183376326055,1.0065440189852692,680.8265419006348
83000,83.00000000003226,-56539.33672212429,16921.596378714075,-39617.740343410216,301.5781651552799,45.15574631799145,0.9937144350735524,689.222558259964
84000,84.00000000003703,-56186.41895621134,16476.668892726815,-39709.75006348452,293.64862873045547,44.55196343412293,1.0071815804270374,697.6273875236511
85000,85.00000000004181,-56832.74155977951,16448.911877154067,-40383.829682625445,293.15394078026037,44.33694621086703,1.012066025686482,706.0148730278015
86000,86.00000000004658,-56510.772639785486,16631.534212299197,-39879.238427486285,296.4086519503436,44.964656023872,0.9979375116065548,714.4041638374329
87000,87.00000000005136,-56778.14846098068,16677.248907782945,-40100.899553197734,297.2233832366875,44.6244949015337,1.0055445342680016,722.7898390293121
88000,88.00000000005613,-56772.35911278168,16356.901518288556,-40415.45759449313,291.51412414707056,44.922236890403155,0.998879843231796,731.186203956604
89000,89.00000000006091,-56373.54958549384,16414.877087398694,-39958.67249809515,292.5473697915573,44.63491563156509,1.005309773924493,739.593611240387
90000,90.00000000006568,-56376.57896694967,16674.858311305157,-39701.720655644516,297.18077781795137,44.66276719470574,1.0046828658665505,747.976824760437
91000,91.00000000007046,-57076.68400334322,16979.566158336576,-40097.11784500665,302.6113076190135,44.445166798402575,1.0096017221904154,756.3389744758606
92000,92.00000000007523,-56630.05926077742,16772.6682792979,-39857.39098147952,298.9239555903661,44.23578502360103,1.014380482199357,764.714768409729
93000,93.00000000008001,-56163.490334541886,16651.99465170226,-39511.495682839624,296.7732996842423,44.767543680511224,1.0023314493853217,773.0839228630066
94000,94.00000000008478,-56355.23028418199,16464.57443096388,-39890.65585321811,293.4330801790437,44.50258428284225,1.0082991283723641,781.4525616168976
95000,95.00000000008956,-56305.349362973546,16674.652057574105,-39630.697305399444,297.1771019459843,44.73133554462,1.0031427945617069,789.8238756656647
96000,96.00000000009433,-56692.50930798305,16641.697739524898,-40050.81156845815,296.5897872181774,44.54232517241981,1.00739951875013,798.2024047374725
97000,97.0000000000991,-56040.46869561142,16715.514675747083,-39324.95401986434,297.9053590877011,44.518025453651745,1.0079493976978877,806.5730602741241
98000,98.00000000010388,-56374.44652366984,16701.10985948971,-39673.336664180126,297.6486351971725,44.31675827033563,1.012527059605429,814.9446842670441
99000,99.00000000010866,-56387.79342746798,16871.677582224973,-39516.11584524301,300.68850801448673,44.55590342118538,1.0070925174277103,823.3053071498871
100000,100.00000000011343,-56577.84938719892,16569.819129235406,-40008.03025796352,295.3087603623256,44.81264095261255,1.0013227515458787,831.6910753250122
101000,101.0000000001182,-56649.60685652906,16607.79074684224,-40041.81610968682,295.98549384004,44.968735698005865,0.997846976264831,840.8407487869263
102000,102.00000000012298,-56431.29537127203,16869.761648504227,-39561.533722767796,300.6543620767672,45.10087186964262,0.9949234922199096,849.9898285865784
103000,103.00000000012776,-56626.76323430985,16607.271927249774,-40019.491307060074,295.9762473920548,44.92499186428907,0.9988185880647038,859.11621260643
104000,104.00000000013253,-56790.61022350065,16625.968042392265,-40164.642181108386,296.309451185244,44.27941365328576,1.0133810102830436,868.237321138382
105000,105.0000000001373,-56922.748608325164,17004.622372654296,-39918.12623567087,303.0578616539023,44.29345999090271,1.0130596469980806,877.3577854633331
106000,106.00000000014208,-56525.86028230765,17132.99928989491,-39392.86099241274,305.3458062593189,44.61936957858548,1.0056600388241084,886.4896619319916
107000,107.00000000014685,-56378.37408085096,16930.12801092514,-39448.24606992582,301.7302166479646,45.21170946552844,0.9924844132894377,895.6410412788391
108000,108.00000000015163,-56608.772160380264,17033.476462840124,-39575.29569754014,303.5721017634474,44.72839982900209,1.0032086351010563,904.760368347168
109000,109.0000000001564,-56746.45966455401,16891.589387250962,-39854.870277303045,301.04337793871093,44.52062861723143,1.0078904619361129,913.8929052352905
110000,110.00000000016118,-56504.90843266861,16930.810466895407,-39574.09796577321,301.7423794377338,44.618155354133734,1.005687406540223,923.0213809013367
111000,111.00000000016595,-56496.66750960095,16349.449908186269,-40147.21760141468,291.3813209025181,44.82003107371415,1.0011576491080079,932.1586496829987
112000,112.00000000017073,-56044.65058626971,16815.507533713808,-39229.1430525559,299.6874405154422,45.22855608889023,0.9921147350916576,941.293493270874
113000,113.0000000001755,-56608.68541133388,16999.3641162775,-39609.321295056376,302.96414855056736,44.87088621744977,1.0000229709137625,950.4200341701508
114000,114.00000000018028,-56417.33776321754,17059.999487038116,-39357.33827617942,304.04479741183553,45.54682464423795,0.9851821129836805,959.5635559558868
115000,115.00000000018505,-56946.46451669492,16633.228090300683,-40313.236426394236,296.43884039168523,44.870242725434366,1.000037312418464,968.6872158050537
116000,116.00000000018983,-57175.5174030865,16885.345842768005,-40290.1715603185,300.9321049448931,44.63456157650509,1.0053177483505824,977.8177266120911
117000,117.0000000001946,-56756.34874090614,16437.924266233276,-40318.424474672865,292.95811862100476,44.64122769636925,1.005167627734329,986.9561333656311
118000,118.00000000019938,-57135.557188425,16797.918938987805,-40337.638249437194,299.3739750476214,44.20785961530971,1.0150212503653497,996.0947825908661
119000,119.00000000020415,-56551.5643120725,16907.00616615366,-39644.55814591884,301.31813711568367,44.40919966325331,1.0104194014520167,1005.3036663532257
120000,120.00000000020893,-56200.66471443117,16360.31794433127,-39840.3467700999,291.5750119897003,44.33372835811887,1.0121394839667277,1014.446831703186
121000,121.0000000002137,-56456.9654221917,16958.78273282605,-39498.182689365654,302.2409035985636,44.31786861204963,1.0125016917105811,1023.6229376792908
122000,122.00000000021848,-56294.89790527264,16825.317596463286,-39469.58030880935,299.86227630858093,44.73527024017619,1.0030545630281809,1032.7627561092377
123000,123.00000000022325,-56656.38403643524,16590.525754070797,-40065.85828236445,295.67779563445106,44.56080141672369,1.0069818207054746,1041.9019854068756
124000,124.00000000022803,-56737.44284294182,16817.844756333325,-39919.598086608494,299.7290947006253,44.60873267730183,1.005899837310097,1051.0315840244293
125000,125.0000000002328,-56278.6894887307,16472.860260552457,-39805.82922817824,293.58075095597206,44.95056840805113,0.9982502676133116,1060.2017424106598
126000,126.00000000023758,-56169.808957845235,16530.09349871389,-39639.715459131345,294.6007667136066,44.99332597270669,0.997301621354402,1069.346884727478
127000,127.00000000024235,-56260.02753050908,16600.144856043138,-39659.882674465945,295.8492281079799,44.93491095295696,0.99859810537256,1078.5201802253723
128000,128.00000000024713,-56449.04546146378,16734.611994605424,-39714.433466858354,298.24571316847374,45.19981664853775,0.9927455523021277,1087.6756587028503
129000,129.0000000002519,-57474.634661395474,16912.26236281336,-40562.372298582115,301.411813510561,44.736873373962304,1.0030186188385666,1096.8454957008362
130000,130.00000000025668,-57201.00062693901,17119.385524168723,-40081.61510277029,305.10318054028676,44.49342674649273,1.0085066542159427,1106.0072162151337
131000,131.00000000026145,-56148.48486444153,16549.387420642535,-39599.09744379899,294.9446246714296,45.28443479439698,0.9908905156139763,1115.1710696220398
132000,132.00000000026623,-57063.364686249966,16760.96081800291,-40302.40386824706,298.715304195016,44.57696028627658,1.0066167960878603,1124.3107070922852
133000,133.000000000271,-56830.080218123076,16542.53367332847,-40287.546544794604,294.82247658958477,45.14451106784359,0.9939617437715424,1133.4316098690033
134000,134.00000000027578,-56688.310021559075,16627.74947470357,-40060.5605468555,296.34120002712444,45.43665253081448,0.9875709244266188,1142.5638587474823
135000,135.00000000028055,-56494.07899383475,16733.405771322676,-39760.67322251208,298.2242157520222,44.8558895251959,1.0003573090999034,1151.6904911994934
136000,136.00000000028533,-56092.25391901576,17299.897541766826,-38792.356377248936,308.32028144716054,45.1836378535828,0.9931010222796709,1160.838553905487
137000,137.0000000002901,-56817.84765648376,16967.03646383757,-39850.81119264619,302.38800231185456,45.375009651809975,0.9889125597335846,1169.9903585910797
138000,138.00000000029488,-56702.64880961982,16737.57839794589,-39965.070411673936,298.2985806672905,44.690900385911426,1.0040504119458993,1179.1437618732452
139000,139.00000000029965,-56586.46973531261,16781.036589931413,-39805.4331453812,299.07309635166445,44.98382730710287,0.9975122089182997,1188.3015928268433
140000,140.00000000030442,-57117.14941528995,16608.486952713578,-40508.662462576365,295.99790168174417,44.846558738337365,1.0005654437059064,1197.4357740879059
141000,141.0000000003092,-56279.12347057198,16732.448135114628,-39546.67533545736,298.207148676077,45.01245515142126,0.9968777928633092,1206.5778288841248
142000,142.00000000031397,-56798.4139332181,16640.089402335718,-40158.32453088238,296.5611232926464,44.926134086982465,0.99879319364159,1215.7288928031921
143000,143.00000000031875,-56687.65355010187,16929.550179225265,-39758.103370876604,301.71991848105904,44.99136634589335,0.9973450594439052,1224.8732042312622
144000,144.00000000032352,-56470.30736051586,16319.344090068427,-40150.96327044743,290.84477238869715,45.276584357197926,0.991062324593704,1234.0229709148407
145000,145.0000000003283,-56654.2574740614,17025.25980646499,-39628.99766759641,303.4256637975565,44.88432383412715,0.999723580743569,1243.1890614032745
146000,146.00000000033307,-56535.96727462899,16924.346166858315,-39611.62110777067,301.62717211919426,44.73756367645961,1.0030031422189092,1252.3454999923706
147000,147.00000000033785,-56572.74897185335,16441.01526297035,-40131.733708882995,293.01320663419244,44.56903565831697,1.0067957782778283,1261.4856190681458
148000,148.00000000034262,-56540.694658266104,16458.507034831666,-40082.18762343444,293.3249465164819,45.360854040152574,0.9892211664045774,1270.6267688274384
149000,149.0000000003474,-56397.82811572423,16712.179169706338,-39685.64894601789,297.84591340839756,45.105382125247345,0.9948240061043813,1279.7275874614716
150000,150.00000000035217,-56561.594418124165,16188.969155971567,-40372.6252621526,288.5212189527677,44.88074700752458,0.9998032549499325,1288.837217092514
151000,151.00000000035695,-56439.26121474847,16597.999296177986,-39841.26191857048,295.81098975310596,44.82766937016451,1.0009870594024781,1297.9912707805634
152000,152.00000000036172,-56419.33608983504,16925.2754836395,-39494.06060619553,301.64373448384623,44.92711739514511,0.9987713333140853,1307.1271169185638
153000,153.0000000003665,-56812.182631519325,16650.019822016387,-40162.16280950294,296.73810409750035,45.06501457663688,0.9957151321098325,1316.305559873581
154000,154.00000000037127,-56931.932446079154,16777.77069173086,-40154.16175434829,299.01489122935425,45.386050226584246,0.9886719976444306,1325.4617924690247
155000,155.00000000037605,-56799.35949676066,16404.81559757485,-40394.54389918581,292.3680530431906,45.13031532217122,0.994274394547898,1334.6299984455109
156000,156.00000000038082,-56893.552764078275,16724.061348677016,-40169.49141540126,298.0576786373881,45.22382390306125,0.9922185492074251,1343.7534725666046
157000,157.0000000003856,-56726.967103165065,16663.255200507832,-40063.71190265723,296.97398616626344,44.93530593367855,0.9985893277089379,1352.9225854873657
158000,158.00000000039037,-56934.933859656776,16721.902017895292,-40213.03184176148,298.01919485603906,44.99326022280895,0.9973030787388925,1362.0401272773743
159000,159.00000000039515,-56463.028964774465,17101.31476703706,-39361.714197737405,304.78112193205817,44.8953715007302,0.9994775729159006,1371.1621294021606
160000,160.00000000039992,-56421.05933374776,16723.23550466756,-39697.823829080204,298.04296037349013,44.67183177799096,1.0044790006756592,1380.273102760315
161000,161.0000000004047,-56741.003873932306,16415.30669222515,-40325.69718170716,292.5550262462088,44.65631584159512,1.0048280091415775,1389.3645453453064
162000,162.00000000040947,-56429.12588096071,16709.48234123544,-39719.643539725264,297.79785029639623,44.75362888513069,1.0026430942143358,1398.4803969860077
